ID,replacement rate,Null befor,Null after,Null difference
1152,1.19,168,166,2
1153,0.0,80,80,0
1154,0.88,228,226,2
1155,0.0,168,168,0
1156,1.4,214,211,3
1157,1.1,181,179,2
1158,0.51,197,196,1
1159,1.12,179,177,2
1160,0.59,170,169,1
1161,1.3,154,152,2
1162,1.0,201,199,2
1163,0.0,207,207,0
1164,0.0,80,80,0
1165,2.44,205,200,5
1166,1.48,270,266,4
1167,0.0,198,198,0
1168,1.06,189,187,2
1169,2.7,222,216,6
1170,2.45,163,159,4
1171,0.87,230,228,2
1172,0.0,223,223,0
1173,0.49,206,205,1
1174,0.0,184,184,0
1175,0.97,103,102,1
1176,91.71,193,16,177
1177,0.49,206,205,1
1178,1.77,282,277,5
1179,0.99,203,201,2
1180,0.36,274,273,1
1181,2.87,244,237,7
1182,2.64,227,221,6
1183,1.8,167,164,3
1184,1.42,211,208,3
1185,1.55,194,191,3
1186,9.52,63,57,6
1187,0.0,214,214,0
1188,1.79,223,219,4
1189,0.0,238,238,0
1190,0.52,194,193,1
1191,1.4,214,211,3
1192,0.0,227,227,0
1193,0.91,219,217,2
1194,0.93,216,214,2
1195,12.77,235,205,30
1196,0.0,235,235,0
1197,1.49,67,66,1
1198,0.98,204,202,2
1199,1.43,210,207,3
1200,0.64,157,156,1
1201,0.81,247,245,2
1202,0.0,257,257,0
1203,0.0,209,209,0
1204,0.0,218,218,0
1205,0.0,218,218,0
1206,0.0,190,190,0
1207,0.79,253,251,2
1208,0.0,91,91,0
1209,1.12,178,176,2
1210,0.0,216,216,0
1211,3.02,232,225,7
1212,0.0,226,226,0
1213,0.0,240,240,0
1214,0.0,222,222,0
1215,1.2,249,246,3
1216,1.23,244,241,3
1217,0.0,232,232,0
1218,1.18,170,168,2
1219,9.52,63,57,6
1220,0.48,209,208,1
1221,1.44,208,205,3
1222,1.65,243,239,4
1223,0.0,278,278,0
1224,2.27,132,129,3
1225,1.14,263,260,3
1226,0.0,290,290,0
1227,2.26,221,216,5
1228,0.76,264,262,2
1229,0.0,224,224,0
1230,1.67,60,59,1
1231,0.46,216,215,1
1232,0.0,242,242,0
1233,1.26,238,235,3
1234,0.0,180,180,0
1235,1.52,264,260,4
1236,1.58,190,187,3
1237,0.51,196,195,1
1238,1.69,237,233,4
1239,1.04,193,191,2
1240,2.61,268,261,7
1241,1.25,80,79,1
1242,1.88,213,209,4
1243,0.0,239,239,0
1244,34.76,233,152,81
1245,0.92,218,216,2
1246,0.38,265,264,1
1247,0.0,314,314,0
1248,0.4,250,249,1
1249,0.53,188,187,1
1250,1.42,211,208,3
1251,0.0,257,257,0
1252,10.39,231,207,24
1253,93.33,45,3,42
1254,0.0,318,318,0
1255,1.1,273,270,3
1256,1.1,273,270,3
1257,36.09,266,170,96
1258,2.73,183,178,5
1259,0.0,230,230,0
1260,0.67,297,295,2
1261,1.58,190,187,3
1262,0.9,221,219,2
1263,1.33,226,223,3
1264,93.33,45,3,42
1265,2.4,250,244,6
1266,1.29,232,229,3
1267,1.49,268,264,4
1268,0.5,201,200,1
1269,1.48,203,200,3
1270,0.51,195,194,1
1271,0.0,245,245,0
1272,1.23,243,240,3
1273,0.0,284,284,0
1274,0.47,215,214,1
1275,0.0,80,80,0
1276,0.0,189,189,0
1277,4.64,280,267,13
1278,0.45,221,220,1
1279,0.0,304,304,0
1280,0.0,197,197,0
1281,0.0,203,203,0
1282,1.04,383,379,4
1283,0.9,221,219,2
1284,1.52,330,325,5
1285,1.91,209,205,4
1286,90.48,63,6,57
1287,0.0,239,239,0
1288,0.71,281,279,2
1289,1.68,238,234,4
1290,0.9,333,330,3
1291,0.0,200,200,0
1292,0.0,252,252,0
1293,0.62,321,319,2
1294,0.45,224,223,1
1295,0.0,282,282,0
1296,0.62,321,319,2
1297,1.64,61,60,1
1298,1.08,185,183,2
1299,1.05,287,284,3
1300,47.65,170,89,81
1301,0.75,265,263,2
1302,0.81,248,246,2
1303,0.0,204,204,0
1304,1.18,255,252,3
1305,1.73,231,227,4
1306,0.95,210,208,2
1307,1.68,179,176,3
1308,2.74,73,71,2
1309,0.66,303,301,2
1310,1.33,225,222,3
1311,0.0,239,239,0
1312,0.36,275,274,1
1313,0.99,203,201,2
1314,1.89,264,259,5
1315,0.78,258,256,2
1316,0.44,227,226,1
1317,0.0,298,298,0
1318,1.01,297,294,3
1319,0.0,86,86,0
1320,1.04,289,286,3
1321,0.79,254,252,2
1322,0.0,303,303,0
1323,0.0,287,287,0
1324,0.0,267,267,0
1325,1.62,247,243,4
1326,0.88,228,226,2
1327,0.42,238,237,1
1328,2.92,274,266,8
1329,1.14,264,261,3
1330,0.0,106,106,0
1331,0.41,242,241,1
1332,0.36,281,280,1
1333,0.78,257,255,2
1334,0.68,294,292,2
1335,2.06,243,238,5
1336,0.69,289,287,2
1337,0.0,319,319,0
1338,0.33,305,304,1
1339,1.38,290,286,4
1340,0.8,249,247,2
1341,0.0,106,106,0
1342,1.34,299,295,4
1343,0.77,260,258,2
1344,2.54,276,269,7
1345,0.0,227,227,0
1346,0.46,219,218,1
1347,1.4,358,353,5
1348,1.9,211,207,4
1349,2.78,288,280,8
1350,0.5,200,199,1
1351,2.69,335,326,9
1352,95.24,63,3,60
1353,0.77,260,258,2
1354,0.74,269,267,2
1355,0.71,281,279,2
1356,0.0,100,100,0
1357,0.64,314,312,2
1358,1.21,248,245,3
1359,0.41,241,240,1
1360,1.44,277,273,4
1361,0.79,254,252,2
1362,1.6,313,308,5
1363,0.59,170,169,1
1364,92.11,76,6,70
1365,1.26,239,236,3
1366,0.0,341,341,0
1367,1.14,264,261,3
1368,0.0,232,232,0
1369,0.0,211,211,0
1370,0.96,312,309,3
1371,1.24,241,238,3
1372,0.0,230,230,0
1373,1.3,307,303,4
1374,0.43,230,229,1
1375,1.61,62,61,1
1376,0.0,292,292,0
1377,8.81,295,269,26
1378,1.28,235,232,3
1379,0.0,349,349,0
1380,0.32,317,316,1
1381,0.0,169,169,0
1382,2.29,262,256,6
1383,0.84,238,236,2
1384,1.56,256,252,4
1385,1.33,301,297,4
1386,7.69,78,72,6
1387,0.36,276,275,1
1388,2.22,315,308,7
1389,2.37,337,329,8
1390,0.63,315,313,2
1391,1.28,234,231,3
1392,0.3,336,335,1
1393,0.28,354,353,1
1394,0.76,263,261,2
1395,1.21,331,327,4
1396,0.28,358,357,1
1397,0.0,86,86,0
1398,1.69,295,290,5
1399,0.0,262,262,0
1400,0.0,289,289,0
1401,0.0,184,184,0
1402,0.33,299,298,1
1403,0.67,300,298,2
1404,0.3,331,330,1
1405,1.0,200,198,2
1406,0.0,406,406,0
1407,0.4,251,250,1
1408,2.97,101,98,3
1409,0.56,357,355,2
1410,0.0,307,307,0
1411,1.16,346,342,4
1412,1.42,282,278,4
1413,0.87,345,342,3
1414,0.0,262,262,0
1415,1.87,268,263,5
1416,0.54,368,366,2
1417,0.72,278,276,2
1418,1.2,332,328,4
1419,2.97,101,98,3
1420,11.04,299,266,33
1421,47.93,242,126,116
1422,1.2,332,328,4
1423,0.32,311,310,1
1424,1.12,356,352,4
1425,1.45,346,341,5
1426,0.0,314,314,0
1427,0.86,350,347,3
1428,1.43,350,345,5
1429,0.0,219,219,0
1430,0.0,67,67,0
1431,1.46,274,270,4
1432,1.18,340,336,4
1433,0.61,328,326,2
1434,0.0,242,242,0
1435,0.69,288,286,2
1436,0.0,208,208,0
1437,0.0,277,277,0
1438,2.05,293,287,6
1439,1.5,266,262,4
1440,0.72,277,275,2
1441,0.0,75,75,0
1442,0.0,274,274,0
1443,1.93,259,254,5
1444,0.84,239,237,2
1445,0.47,215,214,1
1446,0.0,290,290,0
1447,0.29,346,345,1
1448,0.0,311,311,0
1449,1.31,305,301,4
1450,0.0,313,313,0
1451,0.33,301,300,1
1452,1.04,96,95,1
1453,0.26,390,389,1
1454,0.0,320,320,0
1455,0.72,416,413,3
1456,1.05,285,282,3
1457,0.0,316,316,0
1458,0.61,328,326,2
1459,0.74,271,269,2
1460,0.96,314,311,3
1461,0.0,327,327,0
1462,1.04,385,381,4
1463,1.33,75,74,1
1464,0.0,351,351,0
1465,0.43,231,230,1
1466,0.0,308,308,0
1467,0.29,341,340,1
1468,0.34,292,291,1
1469,7.17,279,259,20
1470,0.0,292,292,0
1471,1.1,362,358,4
1472,0.0,358,358,0
1473,0.0,224,224,0
1474,0.0,261,261,0
1475,45.57,79,43,36
1476,0.0,327,327,0
1477,2.41,291,284,7
1478,0.62,322,320,2
1479,1.19,252,249,3
1480,0.0,271,271,0
1481,0.0,308,308,0
1482,0.3,335,334,1
1483,0.3,330,329,1
1484,0.68,296,294,2
1485,0.0,308,308,0
1486,0.0,72,72,0
1487,3.3,303,293,10
1488,0.64,311,309,2
1489,2.22,315,308,7
1490,0.58,346,344,2
1491,1.03,292,289,3
1492,0.0,278,278,0
1493,0.0,233,233,0
1494,1.61,311,306,5
1495,0.0,293,293,0
1496,1.8,333,327,6
1497,0.0,72,72,0
1498,0.0,365,365,0
1499,1.35,297,293,4
1500,1.43,280,276,4
1501,0.79,253,251,2
1502,1.16,258,255,3
1503,2.19,319,312,7
1504,0.31,318,317,1
1505,0.0,281,281,0
1506,1.44,277,273,4
1507,0.0,285,285,0
1508,2.86,105,102,3
1509,0.26,391,390,1
1510,1.24,241,238,3
1511,1.76,341,335,6
1512,0.33,306,305,1
1513,0.38,261,260,1
1514,1.22,329,325,4
1515,0.8,373,370,3
1516,0.37,270,269,1
1517,0.0,298,298,0
1518,0.98,305,302,3
1519,0.0,104,104,0
1520,0.87,231,229,2
1521,0.0,286,286,0
1522,0.0,347,347,0
1523,0.48,421,419,2
1524,0.0,104,104,0
1525,2.65,113,110,3
1526,12.79,86,75,11
1527,1.11,90,89,1
1528,3.16,95,92,3
1529,0.0,197,197,0
1530,0.0,107,107,0
1531,0.0,112,112,0
1532,0.0,95,95,0
1533,0.0,90,90,0
1534,0.0,98,98,0
1535,1.32,76,75,1
1536,0.0,107,107,0
1537,1.1,91,90,1
1538,1.1,91,90,1
1539,0.0,81,81,0
1540,1.32,76,75,1
1541,0.0,56,56,0
1542,0.95,105,104,1
1543,0.0,113,113,0
1544,1.98,101,99,2
1545,90.16,61,6,55
1546,1.01,99,98,1
1547,0.0,86,86,0
1548,45.0,100,55,45
1549,45.0,100,55,45
1550,0.0,103,103,0
1551,0.0,61,61,0
1552,0.0,103,103,0
1553,46.74,92,49,43
1554,0.0,87,87,0
1555,0.0,87,87,0
1556,2.73,110,107,3
1557,2.73,110,107,3
1558,0.0,123,123,0
1559,2.78,108,105,3
1560,1.02,98,97,1
1561,0.0,130,130,0
1562,0.0,57,57,0
1563,0.0,130,130,0
1564,0.0,130,130,0
1565,1.87,107,105,2
1566,0.0,115,115,0
1567,0.0,115,115,0
1568,2.63,114,111,3
1569,5.41,111,105,6
1570,0.0,138,138,0
1571,0.0,113,113,0
1572,0.97,103,102,1
1580,42.0,50,29,21
1581,0.0,173,173,0
1582,1.1,182,180,2
1583,0.0,221,221,0
1584,0.0,367,367,0
1585,0.78,385,382,3
1586,0.0,227,227,0
1587,0.76,263,261,2
1588,0.0,89,89,0
1589,1.68,119,117,2
1590,3.17,252,244,8
1591,0.0,163,163,0
1592,0.0,234,234,0
1593,0.0,313,313,0
1594,0.53,380,378,2
1595,1.93,363,356,7
1596,0.89,338,335,3
1597,2.56,195,190,5
1598,1.13,177,175,2
1599,0.0,257,257,0
1600,0.47,212,211,1
1601,92.54,67,5,62
1602,5.17,116,110,6
1603,1.2,167,165,2
1604,0.0,172,172,0
1605,0.86,232,230,2
1606,1.7,235,231,4
1607,1.2,250,247,3
1608,0.34,297,296,1
1609,0.0,284,284,0
1610,0.0,49,49,0
1611,7.19,139,129,10
1612,0.0,179,179,0
1613,4.32,139,133,6
1614,2.07,290,284,6
1615,0.0,259,259,0
1616,1.15,174,172,2
1617,3.8,263,253,10
1618,0.52,193,192,1
1619,2.49,241,235,6
1620,0.8,125,124,1
1621,0.73,137,136,1
1622,0.0,194,194,0
1623,0.37,270,269,1
1624,2.19,137,134,3
1625,94.69,113,6,107
1626,0.0,254,254,0
1627,1.77,113,111,2
1628,1.12,179,177,2
1629,6.01,283,266,17
1630,0.0,202,202,0
1631,0.57,176,175,1
1632,3.65,192,185,7
1633,0.46,219,218,1
1634,0.98,205,203,2
1635,0.51,198,197,1
1636,8.16,98,90,8
1637,0.0,73,73,0
1638,0.0,175,175,0
1639,1.1,181,179,2
1640,0.0,137,137,0
1641,0.65,154,153,1
1642,0.7,287,285,2
1643,0.74,269,267,2
1644,0.0,265,265,0
1645,1.85,162,159,3
1646,0.37,267,266,1
1647,0.75,265,263,2
1648,0.0,230,230,0
1649,2.65,226,220,6
1650,0.37,268,267,1
1651,9.27,248,225,23
1652,0.83,241,239,2
1653,0.83,242,240,2
1654,0.0,58,58,0
1655,4.33,208,199,9
1656,2.34,214,209,5
1657,11.72,239,211,28
1658,0.0,217,217,0
1659,1.05,191,189,2
1660,0.0,211,211,0
1661,0.65,153,152,1
1662,0.44,227,226,1
1663,0.46,218,217,1
1664,0.0,172,172,0
1665,0.98,205,203,2
1666,0.78,256,254,2
1667,0.53,378,376,2
1668,1.38,145,143,2
1669,0.72,276,274,2
1670,11.76,238,210,28
1671,0.0,188,188,0
1672,2.99,301,292,9
1673,0.97,309,306,3
1674,0.65,308,306,2
1675,1.69,296,291,5
1676,89.47,57,6,51
1677,1.03,97,96,1
1678,0.32,314,313,1
1679,1.1,182,180,2
1680,0.0,240,240,0
1681,2.37,338,330,8
1682,1.92,313,307,6
1683,0.38,262,261,1
1684,10.0,170,153,17
1685,0.58,173,172,1
1686,0.0,232,232,0
1687,0.0,236,236,0
1688,1.97,304,298,6
1689,0.66,303,301,2
1690,3.23,279,270,9
1691,0.0,232,232,0
1692,1.39,144,142,2
1693,0.0,306,306,0
1694,1.4,143,141,2
1695,0.0,207,207,0
1696,1.34,224,221,3
1697,0.71,283,281,2
1698,0.74,270,268,2
1699,0.0,121,121,0
1700,1.59,126,124,2
1701,0.71,141,140,1
1702,2.48,202,197,5
1703,1.46,206,203,3
1704,1.78,281,276,5
1705,0.0,326,326,0
1706,1.98,101,99,2
1707,0.0,101,101,0
1708,0.0,179,179,0
1709,1.34,149,147,2
1710,64.71,221,78,143
1711,0.67,150,149,1
1712,2.23,224,219,5
1713,0.74,269,267,2
1714,4.35,253,242,11
1715,1.37,146,144,2
1716,1.37,146,144,2
1717,0.0,248,248,0
1718,2.23,179,175,4
1719,2.54,236,230,6
1720,1.35,222,219,3
1721,9.04,177,161,16
1722,3.53,255,246,9
1723,1.09,275,272,3
1724,0.0,173,173,0
1725,0.0,113,113,0
1726,1.55,129,127,2
1727,1.01,199,197,2
1728,0.4,247,246,1
1729,0.0,250,250,0
1730,0.0,291,291,0
1731,1.11,90,89,1
1732,4.08,147,141,6
1733,2.12,236,231,5
1734,2.56,234,228,6
1735,0.0,223,223,0
1736,0.43,231,230,1
1737,0.56,178,177,1
1738,0.46,217,216,1
1739,0.0,206,206,0
1740,3.19,188,182,6
1741,0.0,237,237,0
1742,0.0,186,186,0
1743,42.49,193,111,82
1744,1.88,266,261,5
1745,0.61,164,163,1
1746,0.0,197,197,0
1747,2.12,236,231,5
1748,1.21,165,163,2
1749,1.87,214,210,4
1750,2.3,217,212,5
1751,46.25,160,86,74
1752,1.75,228,224,4
1753,1.06,189,187,2
1754,1.37,219,216,3
1755,1.36,220,217,3
1756,0.88,113,112,1
1757,0.81,124,123,1
1758,0.0,117,117,0
1759,0.99,202,200,2
1760,0.56,180,179,1
1763,0.0,113,113,0
1764,2.19,183,179,4
1765,0.59,169,168,1
1766,0.0,189,189,0
1767,0.0,209,209,0
1768,2.58,194,189,5
1769,0.46,216,215,1
1770,1.44,277,273,4
1771,2.74,219,213,6
1772,10.08,119,107,12
1773,3.73,161,155,6
1774,0.96,208,206,2
1775,0.0,175,175,0
1776,0.28,352,351,1
1777,0.0,230,230,0
1778,1.04,193,191,2
1779,0.0,124,124,0
1780,1.1,181,179,2
1781,1.6,250,246,4
1782,1.01,199,197,2
1783,1.06,283,280,3
1784,0.32,311,310,1
1803,0.0,30,30,0
1815,3.92,816,784,32
1816,3.92,816,784,32
1819,0.0,430,430,0
1821,0.0,5945,5945,0
1823,0.0,5945,5945,0
1824,100.0,3,0,3
1825,0.0,49,49,0
1826,0.0,49,49,0
1827,0.0,49,49,0
1828,0.0,49,49,0
1840,0.0,4,4,0
1848,51.26,318,155,163
1849,51.79,392,189,203
1850,80.27,451,89,362
1851,47.83,345,180,165
1852,47.83,345,180,165
1853,47.83,345,180,165
1854,47.83,345,180,165
1860,0.0,36,36,0
1861,0.0,36,36,0
1862,0.0,36,36,0
1873,100.0,76,0,76
1874,0.0,632,632,0
1877,40.0,10,6,4
1878,100.0,34,0,34
1879,0.0,32,32,0
1880,0.0,36,36,0
1881,0.0,26,26,0
1882,100.0,36,0,36
1889,0.0,448,448,0
1890,73.33,15,4,11
1892,0.0,2,2,0
1915,0.0,140,140,0
1917,0.0,189,189,0
1924,0.0,27,27,0
1932,1.35,74,73,1
1937,0.0,83,83,0
1938,0.0,38,38,0
1939,0.0,162,162,0
1953,0.0,3,3,0
1956,100.0,175,0,175
1960,0.0,13,13,0
1961,0.0,56,56,0
1999,0.0,49,49,0
2000,0.0,49,49,0
2001,0.0,49,49,0
2002,0.0,49,49,0
2003,0.0,49,49,0
2004,0.0,49,49,0
2005,0.0,49,49,0
2006,0.0,49,49,0
2007,0.0,49,49,0
2008,0.0,49,49,0
2009,0.0,49,49,0
2010,0.0,49,49,0
2011,0.0,49,49,0
2030,100.0,36,0,36
2031,100.0,36,0,36
2032,100.0,36,0,36
2033,100.0,36,0,36
2034,100.0,36,0,36
2035,100.0,36,0,36
2036,100.0,36,0,36
2037,100.0,36,0,36
2038,100.0,36,0,36
2039,100.0,36,0,36
2040,100.0,36,0,36
2041,100.0,36,0,36
2042,100.0,36,0,36
2043,100.0,36,0,36
2044,100.0,36,0,36
2045,100.0,36,0,36
2046,100.0,36,0,36
2047,100.0,36,0,36
2048,100.0,36,0,36
2049,100.0,45,0,45
2050,100.0,45,0,45
2051,100.0,45,0,45
2052,100.0,45,0,45
2053,100.0,45,0,45
2054,100.0,45,0,45
2055,100.0,45,0,45
2056,100.0,45,0,45
2057,100.0,45,0,45
2058,100.0,45,0,45
2059,100.0,45,0,45
2060,100.0,45,0,45
2061,100.0,45,0,45
2062,100.0,45,0,45
2063,100.0,45,0,45
2064,100.0,45,0,45
2065,100.0,45,0,45
2066,100.0,45,0,45
2067,100.0,45,0,45
2068,100.0,45,0,45
2069,53.19,47,22,25
2070,53.19,47,22,25
2071,53.19,47,22,25
2072,53.19,47,22,25
2073,53.19,47,22,25
2074,53.19,47,22,25
2075,53.19,47,22,25
2076,53.19,47,22,25
2077,53.19,47,22,25
2078,53.19,47,22,25
2079,53.19,47,22,25
2080,53.19,47,22,25
2081,53.19,47,22,25
2082,53.19,47,22,25
2083,53.19,47,22,25
2084,53.19,47,22,25
2085,53.19,47,22,25
2086,53.19,47,22,25
2087,53.19,47,22,25
2088,53.19,47,22,25
2089,56.52,46,20,26
2090,56.52,46,20,26
2091,56.52,46,20,26
2092,56.52,46,20,26
2093,56.52,46,20,26
2094,56.52,46,20,26
2095,56.52,46,20,26
2096,56.52,46,20,26
2097,56.52,46,20,26
2098,56.52,46,20,26
2099,56.52,46,20,26
2100,56.52,46,20,26
2101,56.52,46,20,26
2102,56.52,46,20,26
2103,56.52,46,20,26
2104,56.52,46,20,26
2105,56.52,46,20,26
2106,56.52,46,20,26
2107,56.52,46,20,26
2108,100.0,40,0,40
2109,100.0,40,0,40
2110,100.0,40,0,40
2111,100.0,40,0,40
2112,100.0,40,0,40
2113,100.0,40,0,40
2114,100.0,40,0,40
2115,100.0,40,0,40
2116,100.0,40,0,40
2117,100.0,40,0,40
2118,100.0,40,0,40
2119,100.0,40,0,40
2120,100.0,40,0,40
2121,100.0,40,0,40
2122,100.0,40,0,40
2123,100.0,40,0,40
2124,100.0,40,0,40
2125,100.0,40,0,40
2146,2.44,41,40,1
2147,2.44,41,40,1
2148,2.44,41,40,1
2149,2.44,41,40,1
2150,2.44,41,40,1
2151,2.44,41,40,1
2152,2.44,41,40,1
2153,2.44,41,40,1
2154,2.44,41,40,1
2155,2.44,41,40,1
2156,2.44,41,40,1
2157,2.44,41,40,1
2158,2.44,41,40,1
2159,2.44,41,40,1
2160,2.44,41,40,1
2161,2.44,41,40,1
2162,2.44,41,40,1
2163,2.44,41,40,1
2164,2.44,41,40,1
2165,47.83,46,24,22
2166,47.83,46,24,22
2167,47.83,46,24,22
2168,47.83,46,24,22
2169,47.83,46,24,22
2170,47.83,46,24,22
2171,47.83,46,24,22
2172,47.83,46,24,22
2173,47.83,46,24,22
2174,47.83,46,24,22
2175,47.83,46,24,22
2176,47.83,46,24,22
2177,47.83,46,24,22
2178,47.83,46,24,22
2179,47.83,46,24,22
2180,47.83,46,24,22
2181,47.83,46,24,22
2182,47.83,46,24,22
2183,47.83,46,24,22
2184,47.83,46,24,22
2185,3.28,61,59,2
2186,3.28,61,59,2
2187,3.28,61,59,2
2188,3.28,61,59,2
2189,3.28,61,59,2
2190,3.28,61,59,2
2191,3.28,61,59,2
2192,3.28,61,59,2
2193,3.28,61,59,2
2194,3.28,61,59,2
2195,3.28,61,59,2
2196,3.28,61,59,2
2197,3.28,61,59,2
2198,3.28,61,59,2
2199,3.28,61,59,2
2200,3.28,61,59,2
2201,3.28,61,59,2
2202,3.28,61,59,2
2203,3.28,61,59,2
2204,3.28,61,59,2
2223,100.0,43,0,43
2224,100.0,43,0,43
2225,100.0,43,0,43
2226,100.0,43,0,43
2227,100.0,43,0,43
2228,100.0,43,0,43
2229,100.0,43,0,43
2230,100.0,43,0,43
2231,100.0,43,0,43
2232,100.0,43,0,43
2233,100.0,43,0,43
2234,100.0,43,0,43
2235,100.0,43,0,43
2236,100.0,43,0,43
2237,100.0,43,0,43
2238,100.0,43,0,43
2239,100.0,43,0,43
2240,100.0,43,0,43
2241,100.0,43,0,43
2242,100.0,43,0,43
2243,5.26,38,36,2
2244,5.26,38,36,2
2245,5.26,38,36,2
2246,5.26,38,36,2
2247,5.26,38,36,2
2248,5.26,38,36,2
2249,5.26,38,36,2
2250,5.26,38,36,2
2251,5.26,38,36,2
2252,5.26,38,36,2
2253,5.26,38,36,2
2254,5.26,38,36,2
2255,5.26,38,36,2
2256,5.26,38,36,2
2257,5.26,38,36,2
2258,100.0,53,0,53
2259,100.0,53,0,53
2260,100.0,53,0,53
2261,100.0,53,0,53
2262,100.0,53,0,53
2263,100.0,53,0,53
2264,100.0,53,0,53
2265,100.0,53,0,53
2266,100.0,53,0,53
2267,100.0,53,0,53
2268,100.0,53,0,53
2269,100.0,53,0,53
2270,100.0,53,0,53
2271,100.0,53,0,53
2272,100.0,53,0,53
2273,100.0,53,0,53
2274,100.0,53,0,53
2275,100.0,53,0,53
2276,100.0,53,0,53
2277,100.0,53,0,53
2278,16.0,25,21,4
2279,16.0,25,21,4
2280,16.0,25,21,4
2281,16.0,25,21,4
2282,16.0,25,21,4
2283,16.0,25,21,4
2284,16.0,25,21,4
2285,16.0,25,21,4
2286,16.0,25,21,4
2287,16.0,25,21,4
2288,16.0,25,21,4
2289,16.0,25,21,4
2290,16.0,25,21,4
2291,16.0,25,21,4
2292,16.0,25,21,4
2293,16.0,25,21,4
2294,16.0,25,21,4
2295,16.0,25,21,4
2296,16.0,25,21,4
2297,16.0,25,21,4
2298,18.92,37,30,7
2299,18.92,37,30,7
2300,18.92,37,30,7
2301,18.92,37,30,7
2302,18.92,37,30,7
2303,18.92,37,30,7
2304,18.92,37,30,7
2305,18.92,37,30,7
2306,18.92,37,30,7
2307,18.92,37,30,7
2308,18.92,37,30,7
2309,18.92,37,30,7
2310,18.92,37,30,7
2311,18.92,37,30,7
2312,18.92,37,30,7
2313,18.92,37,30,7
2314,18.92,37,30,7
2315,18.92,37,30,7
2316,18.92,37,30,7
2317,18.92,37,30,7
2318,100.0,46,0,46
2319,100.0,46,0,46
2320,100.0,46,0,46
2321,100.0,46,0,46
2322,100.0,46,0,46
2323,100.0,46,0,46
2324,100.0,46,0,46
2325,100.0,46,0,46
2326,100.0,46,0,46
2327,100.0,46,0,46
2328,100.0,46,0,46
2329,100.0,46,0,46
2330,100.0,46,0,46
2331,100.0,46,0,46
2332,100.0,46,0,46
2333,100.0,46,0,46
2334,100.0,46,0,46
2335,100.0,46,0,46
2336,100.0,46,0,46
2337,100.0,46,0,46
2338,4.35,46,44,2
2339,4.35,46,44,2
2340,4.35,46,44,2
2341,4.35,46,44,2
2342,4.35,46,44,2
2343,4.35,46,44,2
2344,4.35,46,44,2
2345,4.35,46,44,2
2346,4.35,46,44,2
2347,4.35,46,44,2
2348,4.35,46,44,2
2349,4.35,46,44,2
2350,4.35,46,44,2
2351,4.35,46,44,2
2352,4.35,46,44,2
2353,4.35,46,44,2
2354,4.35,46,44,2
2355,4.35,46,44,2
2356,4.35,46,44,2
2357,32.43,37,25,12
2358,32.43,37,25,12
2359,32.43,37,25,12
2360,32.43,37,25,12
2361,32.43,37,25,12
2362,32.43,37,25,12
2363,32.43,37,25,12
2364,32.43,37,25,12
2365,32.43,37,25,12
2366,32.43,37,25,12
2367,32.43,37,25,12
2368,32.43,37,25,12
2369,32.43,37,25,12
2370,32.43,37,25,12
2371,32.43,37,25,12
2372,32.43,37,25,12
2373,32.43,37,25,12
2374,32.43,37,25,12
2375,32.43,37,25,12
2396,12.5,24,21,3
2397,12.5,24,21,3
2398,12.5,24,21,3
2399,12.5,24,21,3
2400,12.5,24,21,3
2401,12.5,24,21,3
2402,12.5,24,21,3
2403,12.5,24,21,3
2404,12.5,24,21,3
2405,12.5,24,21,3
2406,12.5,24,21,3
2407,12.5,24,21,3
2408,12.5,24,21,3
2409,12.5,24,21,3
2410,12.5,24,21,3
2411,12.5,24,21,3
2412,12.5,24,21,3
2413,12.5,24,21,3
2414,12.5,24,21,3
2415,8.89,45,41,4
2416,8.89,45,41,4
2417,8.89,45,41,4
2418,8.89,45,41,4
2419,8.89,45,41,4
2420,8.89,45,41,4
2421,8.89,45,41,4
2422,8.89,45,41,4
2423,8.89,45,41,4
2424,8.89,45,41,4
2425,8.89,45,41,4
2426,8.89,45,41,4
2427,8.89,45,41,4
2428,8.89,45,41,4
2429,8.89,45,41,4
2430,8.89,45,41,4
2431,8.89,45,41,4
2432,8.89,45,41,4
2433,8.89,45,41,4
2464,0.0,57,57,0
2465,0.0,57,57,0
2468,0.0,82,82,0
2475,0.0,4935,4935,0
2476,0.0,2810,2810,0
2477,0.0,2810,2810,0
2478,0.0,2810,2810,0
2479,0.0,2810,2810,0
2480,0.0,2810,2810,0
2488,39.58,48,29,19
2497,0.0,197,197,0
2500,1.13,265,262,3
2501,1.17,257,254,3
2502,4.2,286,274,12
2503,2.44,246,240,6
2504,3.3,212,205,7
2505,0.92,217,215,2
2506,1.39,288,284,4
2507,0.0,198,198,0
2508,1.46,274,270,4
2509,5.19,77,73,4
2510,0.0,234,234,0
2511,0.49,203,202,1
2512,0.0,221,221,0
2513,2.12,236,231,5
2514,0.0,199,199,0
2515,0.0,235,235,0
2516,0.0,260,260,0
2517,1.58,253,249,4
2518,0.85,235,233,2
2519,0.0,159,159,0
2520,2.91,103,100,3
2521,45.86,181,98,83
2522,1.87,267,262,5
2523,0.86,232,230,2
2524,1.82,275,270,5
2525,0.0,229,229,0
2526,2.56,234,228,6
2527,0.0,227,227,0
2528,1.5,266,262,4
2529,1.43,280,276,4
2530,0.43,231,230,1
2531,0.98,102,101,1
2532,0.79,253,251,2
2533,45.75,212,115,97
2534,1.58,253,249,4
