,"1,1,2,2-Tetrachloroethane","1,1,2,2-Tetrachloroethane (C2H2Cl4)"
388,Microsomal protein,The total protein concentration within the microsomal fraction of cells. Microsomes refer to vesicle-like artifacts reformed from pieces of endoplasmic reticulum when eukaryotic cells are broken up in a laboratory.
389,"Molbydenum, dissolved","Dissolved Molbydenum (Mo). For chemical terms, dissolved indicates a filtered sample."
390,"Molybdenum, total","total Molybdenum (Mo). For chemical terms, total represents an unfiltered sample."
391,Momentum flux,Momentum flux
392,Monanthochloe littoralis Coverage,Areal coverage of the plant Monanthochloe littoralis
393,"N, albuminoid",Albuminoid Nitrogen
394,"n-alkane, C15","C15 alkane, normal (i.e. straight-chain) isomer, common name: n-Pentadecane, formula : C15H32"
395,"n-alkane, C16","C16 alkane, normal (i.e. straight-chain) isomer, common name: n-Hexadecane, formula: C16H34. Synonym: cetane"
396,"n-alkane, C17","C17 alkane, normal (i.e. straight-chain) isomer, common name: n-Heptadecane, formula : C17H36"
397,"n-alkane, C18","C18 alkane, normal (i.e. straight-chain) isomer, common name: n-Octadecane, formula : C18H38"
398,"n-alkane, C19","C19 alkane, normal (i.e. straight-chain) isomer, common name: n-Nonadecane, formula : C19H40"
399,"n-alkane, C20","C20 alkane, normal (i.e. straight-chain) isomer, common name: n-Icosane, formula : C20H42. Synonyms: didecyl, eicosane."
400,"n-alkane, C21","C21 alkane, normal (i.e. straight-chain) isomer, common name: n-Henicosane, formula : C21H44."
401,"n-alkane, C22","C22 alkane, normal (i.e. straight-chain) isomer, common name: n-Docosane, formula : C22H46"
402,"n-alkane, C23","C23 alkane, normal (i.e. straight-chain) isomer, common name: n-Tricosane, formula : C23H48"
403,"n-alkane, C24","C24 alkane, normal (i.e. straight-chain) isomer, common name: n-Tetracosane, formula : C24H50"
404,"n-alkane, C25","C25 alkane, normal (i.e. straight-chain) isomer, common name: n-Pentacosane, formula : C25H52"
405,"n-alkane, C26","C26 alkane, normal (i.e. straight-chain) isomer, common name: n-Hexacosane, formula : C26H54, synonyms: cerane, hexeikosane"
406,"n-alkane, C27","C27 alkane, normal (i.e. straight-chain) isomer, common name: n-Heptacosane, formula : C27H56"
407,"n-alkane, C28","C28 alkane, normal (i.e. straight-chain) isomer, common name: n-Octacosane, formula : C28H58"
408,"n-alkane, C29","C29 alkane, normal (i.e. straight-chain) isomer, common name: n-Nonacosane, formula : C29H60"
409,"n-alkane, C30","C30 alkane, normal (i.e. straight-chain) isomer, common name: n-Triacontane, formula : C30H62"
410,"n-alkane, C31","C31 alkane,normal (i.e. straight-chain) isomer, common name: n-Hentriacontane, formula : C31H64, Synonym: untriacontane"
411,"n-alkane, C32","C32 alkane, normal (i.e. straight-chain) isomer, common name: n-Dotriacontane, formula : C32H66, Synonym: dicetyl"
412,"n-alkane, C33","C33 alkane, (i.e. straight-chain) isomer, common name: n-Tritriacontane, formula : C33H68"
413,"n-alkane, long-chain","long-chain alkanes, normal (i.e. straight chain) isomer (isomer range of alkanes measured should be specified)"
414,"n-alkane, short-chain","short-chain alkanes, normal (i.e. straight chain) isomer (isomer range of alkanes measured should be specified)"
415,"n-alkane, total","Total alkane, normal (i.e. straight chain) isomer (isomer range of alkanes measured should be specified)"
416,Naphthalene,Naphthalene (C10H8)
417,Net heat flux,Outgoing rate of heat energy transfer minus the incoming rate of heat energy transfer through a given area
418,"Nickel, dissolved",Dissolved Nickel (Ni)
419,"Nickel, distribution coefficient",Ratio of concentrations of nickel in two phases in equilibrium with each other. Phases must be specified.
420,"Nickel, particulate",Particulate nickel (Ni) in suspension
421,"Nickel, total","Total Nickel (Ni). ""Total"" indicates was measured on a whole water (unfiltered) sample."
422,Nitrobenzene,Nitrobenzene (C6H5NO2)
423,"Nitrogen, dissolved (free+ionized) Ammonia (NH3) + (NH4)",Dissolved (free+ionized) Ammonia
424,"Nitrogen, dissolved inorganic",Dissolved inorganic nitrogen
425,"Nitrogen, dissolved Kjeldahl",Dissolved Kjeldahl (organic nitrogen + ammonia (NH3) + ammonium (NH4))nitrogen
426,"Nitrogen, dissolved nitrate (NO3)",Dissolved nitrate (NO3) nitrogen
427,"Nitrogen, dissolved nitrite (NO2)",Dissolved nitrite (NO2) nitrogen
428,"Nitrogen, dissolved nitrite (NO2) + nitrate (NO3)",Dissolved nitrite (NO2) + nitrate (NO3) nitrogen
429,"Nitrogen, dissolved organic",Dissolved Organic Nitrogen
430,"Nitrogen, gas",Gaseous Nitrogen (N2)
431,"Nitrogen, inorganic",Total Inorganic Nitrogen
432,"Nitrogen, NH3",Free Ammonia (NH3)
433,"Nitrogen, NH3 + NH4",Total (free+ionized) Ammonia
434,"Nitrogen, NH4",Ammonium (NH4)
435,"Nitrogen, nitrate (NO3)",Nitrate (NO3) Nitrogen
436,"Nitrogen, nitrite (NO2)",Nitrite (NO2) Nitrogen
437,"Nitrogen, nitrite (NO2) + nitrate (NO3)",Nitrite (NO2) + Nitrate (NO3) Nitrogen
438,"Nitrogen, organic",Organic Nitrogen
439,"Nitrogen, organic kjeldahl",Organic Kjeldahl (organic nitrogen + ammonia (NH3) + ammonium (NH4)) nitrogen
440,"Nitrogen, particulate organic",Particulate Organic Nitrogen
441,"Nitrogen, total",Total Nitrogen (NO3+NO2+NH4+NH3+Organic)
442,"Nitrogen, total dissolved",Total dissolved nitrogen
443,"Nitrogen, total kjeldahl",Total Kjeldahl Nitrogen (Ammonia+Organic)
444,"Nitrogen, total nitrite",Total nitrite (NO2)
445,"Nitrogen, total organic",Total (dissolved + particulate) organic nitrogen
446,Nitrogen-15,"15 Nitrogen, Delta Nitrogen"
447,"Nitrogen-15, stable isotope ratio delta",Difference in the 15N:14N ratio between the sample and standard (del N 15)
448,N-Nitrosodiphenylamine,N-Nitrosodiphenylamine (C12H10N2O)
449,No vegetation coverage,Areal coverage of no vegetation
450,Odor,Odor
451,Oil and grease,Oil and grease
452,Osmotic pressure,Osmotic pressure
453,Oxygen,Oxygen
454,Oxygen flux,Oxygen (O2) flux
455,"Oxygen, dissolved",Dissolved oxygen
456,"Oxygen, dissolved percent of saturation","Dissolved oxygen, percent saturation"
457,"Oxygen, dissolved, transducer signal","Dissolved oxygen, raw data from sensor"
458,Oxygen-18,"18 O, Delta O"
459,"Oxygen-18, stable isotope ratio delta",Difference in the 18O:16O ratio between the sample and standard
460,Ozone,Ozone (O3)
461,Parameter,Parameter related to a hydrologic process. An example usage would be for a starge-discharge relation parameter.
462,Pentachlorobenzene,Pentachlorobenzene (C6HCl5)
463,Pentachlorophenol,Pentachlorophenol (C6HCl5O)
464,Pentane,Pentane
465,Peridinin,The phytoplankton pigment Peridinin
466,Permittivity,"Permittivity is a physical quantity that describes how an electric field affects, and is affected by a dielectric medium, and is determined by the ability of a material to polarize in response to the field, and thereby reduce the total electric field inside the material. Thus, permittivity relates to a material's ability to transmit (or ""permit"") an electric field."
467,Perylene,"Perylene (C20H12), a polycyclic aromatic hydrocarbon (PAH)"
468,"Petroleum hydrocarbon, total",Total petroleum hydrocarbon
469,pH,pH is the measure of the acidity or alkalinity of a solution. pH is formally a measure of the activity of dissolved hydrogen ions (H+). Solutions in which the concentration of H+ exceeds that of OH- have a pH value lower than 7.0 and are known as acids.
470,Phenanthrene,"Phenanthrene (C14H10), a polycyclic aromatic hydrocarbon (PAH)"
471,Phenol,Phenol (C6H5OH)
472,"Phenolics, total",Total Phenolics
473,Pheophytin,Pheophytin (Chlorophyll which has lost the central Mg ion) is a degradation product of Chlorophyll
474,Phorate,Phorate (C7H17O2PS3)
475,Phosphorodithioic acid,Phosphorodithioic acid (C10N12N3O3PS2)
476,"Phosphorus, dissolved",Dissolved Phosphorus (P)
477,"Phosphorus, dissolved organic",Dissolved organic phosphorus
478,"Phosphorus, inorganic",Inorganic Phosphorus
479,"Phosphorus, organic",Organic Phosphorus
480,"Phosphorus, orthophosphate",Orthophosphate Phosphorus
481,"Phosphorus, orthophosphate dissolved",Dissolved orthophosphate phosphorus
482,"Phosphorus, orthophosphate total",Total orthophosphate phosphorus
483,"Phosphorus, particulate",Particulate phosphorus
484,"Phosphorus, particulate organic",Particulate organic phosphorus in suspension
485,"Phosphorus, phosphate (PO4)",Phosphate phosphorus
486,"Phosphorus, phosphate flux",Phosphate (PO4) flux
487,"Phosphorus, polyphosphate",Polyphosphate Phosphorus
488,"Phosphorus, total",Total Phosphorus
489,"Phosphorus, total dissolved",Total dissolved phosphorus
490,Phytoplankton,Measurement of phytoplankton with no differentiation between species
491,"Polycyclic aromatic hydrocarbon, alkyl","Polycyclic aromatic hydrocarbon (PAH) having at least one alkyl sidechain (methyl, ethyl or other alkyl group) attached to the aromatic ring structure"
492,"Polycyclic aromatic hydrocarbon, parent","Unsubstituted (i.e., non-alkylated) polycyclic aromatic hydrocarbon (PAH)"
493,"Polycyclic aromatic hydrocarbon, total","total polycyclic aromatic hydrocarbon (PAH), also known as poly-aromatic hydrocarbons or polynuclear aromatic hydrocarbons"
494,Position,Position of an element that interacts with water such as reservoir gates
495,"Potassium, dissolved",Dissolved Potassium (K)
496,"Potassium, total",Total Potassium (K)
497,Precipitation,Precipitation such as rainfall. Should not be confused with settling.
498,"Pressure, absolute",Pressure
499,"Pressure, gauge",Pressure relative to the local atmospheric or ambient pressure
500,Primary productivity,Primary Productivity
501,Program signature,A unique data recorder program identifier which is useful for knowing when the source code in the data recorder has been modified.
502,Pronamide,Pronamide (C12H11Cl2NO)
503,Propane,Propane
504,"Propane, dissolved",Dissolved Propane (C3H8)
505,Propanoic acid,Propanoic acid (C3H6O2)
506,Propylene glycol,Propylene glycol (C3H8O2)
507,Pyrene,"Pyrene (C16H10), a polycyclic aromatic hydrocarbon (PAH)"
508,Pyridine,Pyridine (C5H5N)
509,"Radiation, incoming longwave",Incoming Longwave Radiation
510,"Radiation, incoming PAR",Incoming Photosynthetically-Active Radiation
511,"Radiation, incoming shortwave",Incoming Shortwave Radiation
512,"Radiation, incoming UV-A",Incoming Ultraviolet A Radiation
513,"Radiation, incoming UV-B",Incoming Ultraviolet B Radiation
514,"Radiation, net",Net Radiation
515,"Radiation, net longwave",Net Longwave Radiation
516,"Radiation, net PAR",Net Photosynthetically-Active Radiation
517,"Radiation, net shortwave",Net Shortwave radiation
518,"Radiation, outgoing longwave",Outgoing Longwave Radiation
519,"Radiation, outgoing PAR",Outgoing Photosynthetically-Active Radiation
520,"Radiation, outgoing shortwave",Outgoing Shortwave Radiation
521,"Radiation, total incoming",Total amount of incoming radiation from all frequencies
522,"Radiation, total outgoing",Total amount of outgoing radiation from all frequencies
523,"Radiation, total shortwave",Total Shortwave Radiation
524,Radium-226,An isotope of radium in the uranium-238 decay series
525,Radium-228,An isotope of radium in the thorium-232 decay series
526,Radon-222,An isotope of radon
527,Rainfall rate,"A measure of the intensity of rainfall, calculated as the depth of water to fall over a given time period if the intensity were to remain constant over that time interval (in/hr, mm/hr, etc)"
528,Real dielectric constant,Soil reponse of a reflected standing electromagnetic wave of a particular frequency which is related to the stored energy within the medium. This is the real portion of the complex dielectric constant.
529,Recorder code,A code used to identifier a data recorder.
530,Reduction potential,Oxidation-reduction potential
531,Relative humidity,Relative humidity
532,Reservoir storage,Reservoir water volume
533,"Respiration, net",Net respiration
534,Retene,"Retene (C18H18), a polycyclic aromatic hydrocarbon (PAH), also known as methyl isopropyl phenanthrene or 1-methyl-7-isopropyl phenanthrene"
535,Ruthenium-106,The most stable isotope of ruthenium with a half life of 373.59 days.
536,Salicornia bigelovii coverage,Areal coverage of the plant Salicornia bigelovii
537,Salicornia virginica coverage,Areal coverage of the plant Salicornia virginica
538,Salinity,Salinity
539,Secchi depth,Secchi depth
540,"Sediment, passing sieve",The amount of sediment passing a sieve in a gradation test
541,"Sediment, retained on sieve",The amount of sediment retained on a sieve in a gradation test
542,"Sediment, suspended",Suspended Sediment
543,"Selenium, dissolved","Dissolved selenium (Se). For chemical terms, dissolved indicates a filtered sample."
544,"Selenium, distribution coefficient",Ratio of concentrations of selenium in two phases in equilibrium with each other. Phases must be specified.
545,"Selenium, particulate",Particulate selenium (Se) in suspension
546,"Selenium, total","Total Selenium (Se). For chemical terms, total indicates an unfiltered sample"
547,Sensible heat flux,Sensible Heat Flux
548,Sequence number,A counter of events in a sequence
549,Shannon diversity index,"A diversity index that is based on the number of taxa, and the proportion of individuals in each taxa relative to the entire community, evaluated as entropy. Also known as Shannon-Weaver diversity index, the Shannon-Wiener index, the Shannon index and the Shannon entropy."
550,Shannon evenness index,"A dimensionless diversity index, calculated as a ratio of the Shannon diversity index over its maximum. Also known as the Shannon Weaver evenness index"
551,Sigma-t,"Density of seawater calculated with in situ salinity and temperature, but pressure equal to zero, rather than the in situ pressure, and 1000 kg/m^3 is subtracted. Defined as (S,T)-1000 kg m-3, where (S,T) is the density of a sample of seawater at temperature T and salinity S, measured in kg m-3, at standard atmospheric pressure."
552,Signal-to-noise ratio,"Signal-to-noise ratio (often abbreviated SNR or S/N) is defined as the ratio of a signal power to the noise power corrupting the signal. The higher the ratio, the less obtrusive the background noise is."
553,Silica,Silica (SiO2)
554,"Silica, dissolved",Dissolved silica (SiO2)
555,Silicate,"Silicate. Chemical compound containing silicon, oxygen, and one or more metals, e.g., aluminum, barium, beryllium, calcium, iron, magnesium, manganese, potassium, sodium, or zirconium."
556,Silicic acid,Hydrated silica disolved in water
557,Silicic acid flux,Silicate acid (H4SiO4) flux
558,Silicon,Silicon (Si)
559,"Silicon, dissolved",Dissolved Silicon (Si)
560,"Silver, dissolved","Dissolved silver (Ag). For chemical terms, dissolved indicates a filtered sample."
561,"Silver, total","Total Silver (Ag). For chemical terms, total represents an unfiltered sample."
562,Snow depth,Snow depth
563,Snow water equivalent,"The depth of water if a snow cover is completely melted, expressed in units of depth, on a corresponding horizontal surface area."
564,Sodium adsorption ratio,Sodium adsorption ratio
565,Sodium plus potassium,Sodium plus potassium
566,"Sodium, dissolved",Dissolved Sodium (Na)
567,"Sodium, fraction of cations","Sodium, fraction of cations"
568,"Sodium, total",Total Sodium (Na)
569,"Solids, fixed dissolved",Fixed Dissolved Solids
570,"Solids, fixed suspended",Fixed Suspended Solids
571,"Solids, total",Total Solids
572,"Solids, total dissolved",Total Dissolved Solids
573,"Solids, total fixed",Total Fixed Solids
574,"Solids, total suspended",Total Suspended Solids
575,"Solids, total volatile",Total Volatile Solids
576,"Solids, volatile dissolved",Volatile Dissolved Solids
577,"Solids, volatile suspended",Volatile Suspended Solids
578,Spartina alterniflora coverage,Areal coverage of the plant Spartina alterniflora
579,Spartina spartinea coverage,Areal coverage of the plant Spartina spartinea
580,Specific conductance,Specific conductance
581,Speed of sound,Speed of sound in the medium sampled
582,Squalene,Squalene (C30H50)
583,Streamflow,The volume of water flowing past a fixed point.  Equivalent to discharge
584,"Streptococci, fecal",Fecal Streptococci
585,"Strontium, dissolved",Dissolved Strontium (Sr)
586,"Strontium, total",Total Strontium (Sr)
587,Styrene,Styrene (C8H8)
588,Suaeda linearis coverage,Areal coverage of the plant Suaeda linearis
589,Suaeda maritima coverage,Areal coverage of the plant Suaeda maritima
590,"Sulfate, dissolved",Dissolved Sulfate (SO4)
591,"Sulfate, total",Total Sulfate (SO4)
592,"Sulfide, dissolved",Dissolved Sulfide
593,"Sulfide, total",Total sulfide
594,Sulfur,Sulfur (S)
595,Sulfur dioxide,Sulfur dioxide (SO2)
596,"Sulfur, dissolved",Dissolved Sulfur (S)
597,"Sulfur, organic",Organic Sulfur
598,"Sulfur, pyritic",Pyritic Sulfur
599,Sunshine duration,Sunshine duration
600,"Superoxide dismutase, activity",Superoxide dismutase (SOD) activity
601,"Superoxide dismutase, delta cycle threshold","Delta cycle threshold for superoxide dismutase (sod). Cycle threshold is the PCR cycle number at which the fluorescent signal of the gene being amplified crosses the set threshold. Delta cycle threshold for sod is the difference between the cycle threshold (Ct) of sod gene expression and the cycle threshold (Ct) for the gene expression of the reference gene (e.g., beta-actin)."
602,Table overrun error count,A counter which counts the number of datalogger table overrun errors
603,Taxa count,"Count of unique taxa. A taxon (plural: taxa) is a group of one (or more) populations of organism(s), which is judged to be a unit."
604,TDR waveform relative length,"Time domain reflextometry, apparent length divided by probe length. Square root of dielectric"
605,Temperature,Temperature
606,"Temperature, dew point",Dew point temperature
607,"Temperature, transducer signal","Temperature, raw data from sensor"
608,Terbufos,Terbufos (C9H21O2PS3)
609,Terpineol,Terpineol (C10H18O)
610,Tetracene,"Tetracene (C18H12), a polycyclic aromatic hydrocarbon (PAH), also known as naphthacene or benz[b]anthracene"
611,Tetrachloroethene,Tetrachloroethene (C2Cl4)
612,Tetraethylene glycol,Tetraethylene glycol (C8H18O5)
613,"Thallium, dissolved","Dissolved thallium (Tl). ""dissolved"" indicates measurement was made on a filtered sample."
614,"Thallium, distribution coefficient",Ratio of concentrations of thallium in two phases in equilibrium with each other. Phases must be specified.
615,"Thallium, particulate",Particulate thallium (Tl) in suspension
616,"Thallium, total","Total thallium (Tl). ""Total"" indicates was measured on a whole water (unfiltered) sample."
617,Thorium,Thorium (Th)
618,"Thorium, dissolved","Dissolved thorium. For chemical terms, dissolved indicates a filtered sample."
619,Thorium-228,An isotope of thorium in the thorium-232 decay series
620,Thorium-230,An isotope of thorium in the thorium-232 decay series
621,Thorium-232,A radioactive isotope of thorium which undergoes alpha decay
622,THSW Index,"The THSW Index uses temperature, humidity, solar radiation, and wind speed to calculate an apparent temperature."
623,THW Index,"The THW Index uses temperature, humidity, and wind speed to calculate an apparent temperature."
624,Tide stage,Tidal stage
625,"Tin, dissolved","Dissolved tin (Sn). ""Dissolved "" indicates a the measurement was made on a filtered sample."
626,"Tin, total","Total tin (Sn).""Total"" indicates was measured on a whole water (unfiltered) sample."
627,Titanium,Titanium (Ti)
628,"Titanium, dissolved",Dissolved Titanium
629,Toluene,Toluene (C6H5CH3)
630,"trans-1,2-Dichloroethene","trans-1,2-Dichloroethene (C2H2Cl2)"
631,"trans-1,3-Dichloropropene","trans-1,3-Dichloropropene (C3H4Cl2)"
632,Transient species coverage,Areal coverage of transient species
633,Transpiration,Transpiration
634,Trichloroethene,Trichloroethene (C2HCl3)
635,Triethylene glycol,Triethylene glycol (C6H14O4)
636,"Tritium (3H), Delta T of H2O",Isotope 3H of water
637,TSI,Carlson Trophic State Index is a measurement of eutrophication based on Secchi depth
638,Turbidity,Turbidity
639,Uranium,Uranium (U)
640,"Uranium, dissolved","Dissolved Uranium. For chemical terms, dissolved indicates a filtered sample."
641,Uranium-234,An isotope of uranium in the uranium-238 decay series
642,Uranium-235,An isotope of uranium that can sustain fission chain reaction
643,Uranium-238,Uranium's most common isotope
644,Urea,Urea ((NH2)2CO)
645,Urea flux,Urea ((NH2)2CO) flux
646,"Vanadium, dissolved","Dissolved vanadium (V). ""Dissolved"" indicates the measurement was made on a filtered sample."
647,"Vanadium, particulate",Particulate vanadium (V) in suspension
648,"Vanadium, total","Total vanadium (V). ""Total"" indicates was measured on a whole water (unfiltered) sample."
649,Vapor pressure,The pressure of a vapor in equilibrium with its non-vapor phases
650,Vapor pressure deficit,The difference between the actual water vapor pressure and the saturation of water vapor pressure at a particular temperature.
651,Velocity,"The velocity of a substance, fluid or object"
652,Visibility,Visibility
653,Voltage,Voltage or Electrical Potential
654,Volume,Volume. To quantify discharge or hydrograph volume or some other volume measurement.
655,Volumetric water content,Volume of liquid water relative to bulk volume. Used for example to quantify soil moisture
656,Watchdog error count,A counter which counts the number of total datalogger watchdog errors
657,Water Content,Quantity of water contained in a material or organism
658,Water depth,Water depth is the distance between the water surface and the bottom of the water body at a specific location specified by the site location and offset.
659,"Water depth, averaged",Water depth averaged over a channel cross-section or water body.  Averaging method to be specified in methods.
660,Water flux,Water Flux
661,Water level,Water level relative to datum. The datum may be local or global such as NGVD 1929 and should be specified in the method description for associated data values.
662,Water potential,"Water potential is the potential energy of water relative to pure free water (e.g. deionized water) in reference conditions. It quantifies the tendency of water to move from one area to another due to osmosis, gravity, mechanical pressure, or matrix effects including surface tension."
663,"Water Use, Agriculture",Water pumped for Agriculture
664,"Water Use, Commercial + Industrial + Power","Water pumped by commercial, industrial users."
665,"Water Use, Domestic wells",Water pumped by domestic wells; residents and landowners not using public supply. Nonagriculture wells.
666,"Water Use, Public Supply",Water supplied by a public utility
667,"Water Use, Recreation","Recreational water use, for example golf courses."
668,Water vapor density,Water vapor density
669,Wave height,"The height of a surface wave, measured as the difference in elevation between the wave crest and an adjacent trough."
670,Weather conditions,Weather conditions
671,Well flow rate,Flow rate from well while pumping
672,Wellhead pressure,"The pressure exerted by the fluid at the wellhead or casinghead after the well has been shut off for a period of time, typically 24 hours"
673,Wind chill,The effect of wind on the temperature felt on human skin.
674,Wind direction,Wind direction
675,Wind gust direction,Direction of gusts of wind
676,Wind gust speed,Speed of gusts of wind
677,Wind Run,The length of flow of air past a point over a time interval. Windspeed times the interval of time.
678,Wind speed,Wind speed
679,Wind stress,Drag or trangential force per unit area exerted on a surface by the adjacent layer of moving air
680,Wrack coverage,Areal coverage of dead vegetation
681,"Xylenes, total",Total xylenes: C6H4(CH3)2
682,Zeaxanthin,The phytoplankton pigment Zeaxanthin
683,"Zinc, dissolved",Dissolved Zinc (Zn)
684,"Zinc, distribution coefficient",Ratio of concentrations of zinc in two phases in equilibrium with each other. Phases must be specified.
685,"Zinc, particulate",Particulate zinc (Zn) in suspension
686,"Zinc, total","Total zinc (Zn).""Total"" indicates was measured on a whole water (unfiltered) sample."
687,"Zircon, dissolved",Dissolved Zircon (Zr)
688,"Zirconium, dissolved",Dissolved Zirconium
689,Zirconium-95,A radioactive isotope of zirconium with a half-life of 63 days
690,Zooplankton,"Zooplanktonic organisms, non-specific"
