,Abbreviation,Meaning
936,POST,Physician Orders for Scope of Treatment (r/t Advance Medical Directives)
937,post,"posterior, after"
938,post op,post operative
939,PP,post partum
940,PP1,"post partum day l, etc."
941,PPD,Tuberculin Purified Protein Derivative
942,PPE,personal protective equipment
943,PPH,primary pulmonary hypertension
944,PPHN,persistent pulmonary hypertension of the newborn
945,PPN,peripheral parenteral nutrition
946,PPPROM,Prolonged Preterm Premature Rupture of Membranes
947,PPROM,preterm premature rupture of membranes
948,PPS,postpartum sterilization
949,PPT,Partial Prothombin Time
950,PR,pulmonic regurgitation
951,PRBC,packed red blood cells
952,PRC,packed red cells
953,PRE,progressive resistive exercises
954,pre-op,preoperative
955,prep,preparation
956,PRIT,posterior resection of inferior turbinates
957,PRN,as needed (pro re note)
958,prob,"probable, probably"
959,procto,proctosigmoidoscopy
960,PROM,passive range of motion
961,PRON,pronation
962,prox,proximal
963,PRVC,Pressure Regulated Volume Control
964,PS,pulmonic stenosis
965,PSA,Prostrate Specific Antigen
966,PSCU,pediatric special care unit
967,Pt,patient
968,PT,physical therapy
969,pt,Prothombin Time
970,PTA,prior to admission
971,PTB,patellar tendon bearing
972,PTCA,percutaneous transluminal coronary angioplasty
973,PTE,pulmonary thromboembolism
974,PTL,preterm labor
975,PTL,pre-term labor
976,PTX,Pnuemothorax
977,PUD,peptic ulcer disease
978,PVC,premature ventricular contraction
979,PVD,peripheral vascular disease
980,PVR,pulmonary vascular resistance
981,PWB,partial weight bearing
982,q,every
983,q.s.,a sufficient quantity
984,q2hr etc,every two hours etc
985,QB,bloodflow
986,qhr,every hour
987,qid,four times per day
988,QMP,Qualified Medical Practitioner
989,qns,quantity not sufficient
990,QS/QS,intrapulmonary shunting
991,qt.,quart
992,quad,quadriceps
993,QUAD,Quadriplegic
994,R,right
995,R.B.C.,red blood cells
996,R.D.S.,respiratory distress syndrome
997,R.M.L.,right middle lobe
998,R/O,"rule out, ruled out"
999,RA,right atrium
1000,RA.,rheumatoid arthritis
1001,RAC,right antecubital
1002,rad.,radical
1003,RAE,right atrial enlargement
1004,RAFa,right anterior forearm
1005,RAM,rapid alternating movements
1006,RB,Read Back
1007,rb,right bundle
1008,RBBB,right bundle branch block
1009,RCA,right coronary artery
1010,RED.,"redness, edema, drainage"
1011,Ref,refused
1012,regurg/Regurg,regurgitation
1013,REM,rapid eye movements
1014,reps.,repetitions
1015,Resp,"respiratory, respirations"
1016,RET,esotrophia (right)
1017,retics,reticulocytes
1018,RFt,right foot
1019,Rh,Rhesus
1020,RH,right hand
1021,RHD,rheumatic heart disease
1022,RL,right lateral
1023,RLFa,right lateral forearm
1024,RLL,right lower lobe
1025,RLQ,right lower quadrant
1026,RLW,right lateral wrist
1027,RMA,right medial ankle
1028,RMFa,right medial forearm
1029,RML,right mediolateral
1030,RN,registered nurse
1031,RNC,registered nurse certified
1032,RND,radical neck dissection
1033,RNST,reactive non stress test
1034,ROM,range of motion
1035,ROP,retinopathy of prematurity
1036,ROS,review of systems
1037,RPP,rate pressure product
1038,RR,recovery room
1039,RRR,regular rate and rhythm
1040,RSC,right subclavian
1041,RSO,right salpingo oophorectomy
1042,RSV,respiratory syncytial virus
1043,RT,radiation therapy
1044,RTC,return to clinic
1045,RTUS,routine ultrasound
1046,RUA,right upper arm
1047,RUL,right upper lobe
1048,Rupt OM,rupture of membranes
1049,RUQ,right upper quadrant
1050,RV,right ventricle/venticular
1051,R-V,rectovaginal
1052,RVF,right ventricular function
1053,RVH,right ventricular hypertrophy
1054,RVM,right ventricular mean
1055,RVR,Rapid Ventricular Response
1056,Rx,"prescription, treatment"
1057,Rxn,reaction
1058,RXT,exotropia (right)
1059,RYGB,Roux-en-y Gastic Bypass
1060,S,sacral
1061,S/A,sugar and acetone
1062,S/P,status post
1063,S/S,signs & symptoms
1064,s/w,somewhat
1065,S1,lst heart sound
1066,S2,2nd heart sound
1067,S3,3rd heart sound
1068,S4,4th heart sound
1069,sa,semen analysis
1070,SA,sinus arrhythmia
1071,S-A,sino-atrial
1072,SAC,short arm cast
1073,SAH,subarachnoid hemorrhage
1074,SAQ,short arc quads
1075,sat,"saturate, saturation"
1076,SB,sinus bradycardia
1077,sb,small bowel
1078,SBFT,small bowel follow through
1079,SBK,spinnbarkeit
1080,SBO,small bowel obstruction
1081,sbp,Spontaneous bacterial peritonitis
1082,SBP,systolic blood pressure
1083,sc,subclavian
1084,SCD,sequential compression device
1085,SCI,spinal cord injury
1086,SCL,soft contact lens
1087,scol,scoliosis
1088,SDAT,senile dementia-Alzheimer?s type
1089,SDH,Subdural Hematoma
1090,sec,second
1091,SEM,systolic ejection murmur
1092,SEMI,subendocardial myocardial infarction
1093,SF,serum ferritin
1094,SFe,Serum Iron
1095,SGA,small for gestational age
1096,SGOT,serum glutamic oxaloaetic transaminase
1097,SGPT,serum glutamic pyruvate transaminase
1098,SH,social history
1099,SHI,standard heparin infusion
1100,SHP,Hyperparathyroidis
1101,Si,Suicidal Idiation
1102,SICU,surgical intensive care unit
1103,SIDS,sudden infant death syndrome
1104,sim,Similar and simplated
1105,SIMD,Substance-Induced Mood Disorder
1106,SIMV,synchronized I.M.V.
1107,SIVP,slow intravenous push
1108,sl,slight
1109,SL,sublingual
1110,SLB,short leg brace
1111,SLE,systemic lupus erythematosus
1112,SLH,single lumen Hickman
1113,SLR,straight leg raise
1114,SMR,submucous /resection
1115,SOB,short of breath
1116,sol,solution
1117,Sp,sphere
1118,Sp gr,specific gravity
1119,SPAP,systolic pulmonary artery pressure
1120,spec,specimen
1121,sq,squamous
1122,SQ/SC,subcutaneous
1123,SR,sinus rhythm
1124,SROM,spontaneous rupture of membranes
1125,SSE,soap suds enema
1126,SSKI,saturated solution of potassium iodide
1127,SSRI,Selective Serotonin Reuptake Inhibitor
1128,SSS,short stay surgery
1129,ST,sinus tachycardia
1130,st,straight
1131,STAT,immediately
1132,STD/STI,sexually transmitted disease
1133,ster,sterile
1134,STICU,Surgical Trauma Intensive Care Unit
1135,STSG,split thickness skin graft
1136,STV,short term variability
1137,subling,sublinqual
1138,sup,supination
1139,SVC,superior vena cava
1140,SVD,spontaneous vaginal delivery
1141,SVR,systemic vascular resistance
1142,SVT,supraventricular tachycardia
1143,SWD,short wave disthermy
1144,sx,symptoms
1145,Sz,Seizure
1146,T,temperature
1147,T Air,airpuff tonometry
1148,T App,applanation tonometry
1149,T&A,tonsillectomy & adenoidectomy
1150,T&C,type and cross
1151,T&H,type and hold
1152,T3RIA,triiodothyronine by radioimmunoassay
1153,T3RU,triiodothyronine by resin uptake
1154,T4,thyroxine
1155,tab,tablet
1156,tachy,tachycardia
1157,TAH,total abdominal hysterectomy
1158,TAR,total ankle replacement
1159,TAT,tetanus antitoxin
1160,TB,tuberculosis
1161,TBI,Traumatic Brain Injury
1162,TBP,thrombophlebitis
1163,TCA,tricyclic antidepressants
1164,TCH,"turn, cough, hyperinflate"
1165,TCN,tetracycline
1166,Tdap or DPT,Tetanus Diptheria Pertussis Vaccine
1167,TDWB,touch down weight bearing
1168,TED,Thrombo Embolic Deterrent
1169,TEE,transesophageal echocardiogram
1170,TEF,tracheoesophageal fistula
1171,TENS,transcutaneous electrical nerve stimulation
1172,Testost,testosterone
1173,TF,tube feeding
1174,THA,Total Hip Arthroplasty
1175,THR,total hip replacement
1176,TIA,transient ischemic attacks
1177,Tib,tibial
1178,TIBC,total iron binding capacity
1179,tid,three times a day
1180,TJC,The Joint Commission
1181,TKE,terminal knee extension
1182,TKR,total knee replacement
1183,Tl,thallium
1184,TLC,tender loving care
1185,TM,tympanic membrane
1186,TMJ,temporalmandibular joint
1187,TMP,total membrane pressure
1188,TMT,treadmill test
1189,TNBP,transurethral needle biopsy of prostate
1190,TNF,Tumor Necrosis Factor
1191,TNM,Tumor Nodes Metastosis
1192,TNS,transcutaneous nerve stimulation
1193,TO,telephone order
1194,tol,tolerate
1195,TORCH,"toxoplasmosis, rebella, cytomegalovirus, herpes"
1196,TORP,total ossicles replacement
1197,tPA,Tissue Plasminogen Activator
1198,TPE,total plasma exchange
1199,TPN,total parenteral nutrition
1200,TPR,"temperature, pulse, respirations"
1201,tr,trace
1202,TR,tricuspid regurgitation
1203,trach,tracheostomy
1204,TRALI,Transfusion Related Acute Lung Injury
1205,TRF,total fluid removed
1206,TRH,thyroid releasing hormone
1207,Trig,Triglyceride
1208,TS,tricuspid stenosis
1209,TSH,thyroid stimulating hormone
1210,TT,tetanus toxoid
1211,TT,tilt table
1212,TTP,thrombotic thrombocytopenic purpura
1213,TUR,transurethral resection
1214,TURP,transuretheral resection of prostate
1215,TVH,total vaginal hysterectomy
1216,TVol,Total Volume
1217,TVol,Total volume
1218,TWE,tap water enema
1219,Tx,Transplant
1220,TX,treatment
1221,U/A,urinalysis
1222,u/o,urine output
1223,U/P,uretero pelvic
1224,UA,umbilical artery
1225,UAC,umbilical artery catheter
1226,UAP,unstable angina pectoris
1227,UC,uterine contraction
1228,UF,ultrafiltration
1229,UFR,ultrafiltration rate
1230,UGI,upper gastrointestinal
1231,ul,ulnar
1232,Uls,ultrasound
1233,UPJ,uretero pelvic junction
1234,URI,upper respiratory infection
1235,Urol,urology
1236,usa,unstable angina
1237,UTD,up to date
1238,UTI,urinary tract infection
1239,UV,umbilical vein
1240,UVC,umbilical venous catheter
1241,UVJ,uretero vesicle junction
1242,V,vision
1243,V tach,ventricular tachycardia
1244,vag,vaginal
1245,VAS,vibroacoustic stimulator
1246,VB,vaginal bleeding
1247,VBAC,vaginal birth after cesarean
1248,VBG,Venous Blood Gas
1249,VC,vascular catheter
1250,vc,vital capacity
1251,VCOE,Vascular Center of Excllence
1252,VD,venereal disease
1253,VE,vaginal exam
1254,vent,ventilate
1255,VEP,visually evoked potential
1256,VER,visual evoked response
1257,VF,ventricular fibrillation
1258,VF,visual field
1259,V-Fib,ventricular fibrillation
1260,vib,vibratory sense
1261,VIP,voluntary interruption of pregnancy
1262,vit,vitamin
1263,VLBW,Very low birth weight
1264,VLDL,Very Low Density Lipoprotein
1265,VO,verbal order
1266,Vol,volume
1267,vol,volume
1268,VP,venous pressure
1269,VP Shunt,ventricular peritoneal shunt
1270,VPC,ventricular premature contraction
1271,VRE,Vancomycin resistant Enterococcus
1272,vs,versus
1273,VS,vital signs
1274,VSD,ventricular septal defect
1275,Vsl,vessel
1276,VSS,vital signs stable
1277,VT,ventricular tachycardia
1278,vtx,vertex
1279,W,white
1280,w/,with
1281,w/c,wheelchair
1282,W/D,withdrawal
1283,w/f,white female
1284,w/m,white male
1285,w/o,without
1286,W/U,Work-up
1287,WAP,wandering atrial pacer
1288,WB,weight bearing
1289,WBAT,weight bearing as tolerated
1290,WBC,white blood count
1291,WD,well developed
1292,WF,waveforms
1293,WH,well hydrated
1294,WIC,"women, infants, children"
1295,WN,well nourished
1296,WNL,within normal limits
1297,wt,weight
1298,xfer,transfer
1299,x-ray,radiology
1300,yo,year old
1301,yr,year
1302,Zn,Zinc
