,OID,Name,NCI Codelist Code,Data Type,Order,Term,NCI Term Code,Decoded Value
332,CL.TSPARMCD,Trial Summary Parameter Test Code,C66738,text,,DOSU,C73558,Dose Units
333,CL.TSPARMCD,Trial Summary Parameter Test Code,C66738,text,,LENGTH,C49697,Trial Length
334,CL.TSPARMCD,Trial Summary Parameter Test Code,C66738,text,,OBJPRIM,C85826,Trial Primary Objective
335,CL.TSPARMCD,Trial Summary Parameter Test Code,C66738,text,,OBJSEC,C85827,Trial Secondary Objective
336,CL.TSPARMCD,Trial Summary Parameter Test Code,C66738,text,,PLANSUB,C49692,Planned Number of Subjects
337,CL.TSPARMCD,Trial Summary Parameter Test Code,C66738,text,,RANDOM,C25196,Trial is Randomized
338,CL.TSPARMCD,Trial Summary Parameter Test Code,C66738,text,,ROUTE,C38114,Route of Administration
339,CL.TSPARMCD,Trial Summary Parameter Test Code,C66738,text,,SEXPOP,C49696,Sex of Participants
340,CL.TSPARMCD,Trial Summary Parameter Test Code,C66738,text,,SPONSOR,C70793,Clinical Study Sponsor
341,CL.TSPARMCD,Trial Summary Parameter Test Code,C66738,text,,TBLIND,C49658,Trial Blinding Schema
342,CL.TSPARMCD,Trial Summary Parameter Test Code,C66738,text,,TCNTRL,C49647,Control Type
343,CL.TSPARMCD,Trial Summary Parameter Test Code,C66738,text,,TINDTP,C49652,Trial Indication Type
344,CL.TSPARMCD,Trial Summary Parameter Test Code,C66738,text,,TITLE,C49802,Trial Title
345,CL.TSPARMCD,Trial Summary Parameter Test Code,C66738,text,,TPHASE,C48281,Trial Phase Classification
346,CL.TSPARMCD,Trial Summary Parameter Test Code,C66738,text,,TRT,C41161,Investigational Therapy or Treatment
347,CL.TSPARMCD,Trial Summary Parameter Test Code,C66738,text,,TTYPE,C49660,Trial Type
348,CL.TV.DOMAIN,Domain Abbreviation (TV),C66734,text,,TV,C49621,Trial Visits
349,CL.UH_MC,Unit (UH_MC),C71620,text,,cm,C49668,Centimeter
350,CL.UH_NMC,Unit (UH_NMC),C71620,text,,IN,C48500,Inch
351,CL.UW_MC,Unit (UW_MC),C71620,text,,kg,C28252,Kilogram
352,CL.UW_NMC,Unit (UW_NMC),C71620,text,,LB,C48531,Pound
353,CL.VS.DOMAIN,Domain Abbreviation (VS),C66734,text,,VS,C49622,Vital Signs
354,CL.VSRESU,Units for Vital Signs Results,C66770,text,,BEATS/MIN,C49673,Beats per Minute
355,CL.VSRESU,Units for Vital Signs Results,C66770,text,,cm,C49668,Centimeter
356,CL.VSRESU,Units for Vital Signs Results,C66770,text,,kg,C28252,Kilogram
357,CL.VSRESU,Units for Vital Signs Results,C66770,text,,mmHg,C49670,Millimeter of Mercury
358,CL.VSTEST,Vital Signs Test Name,C67153,text,,Body Frame Size,C49680,
359,CL.VSTEST,Vital Signs Test Name,C67153,text,,Diastolic Blood Pressure,C25299,
360,CL.VSTEST,Vital Signs Test Name,C67153,text,,Height,C25347,
361,CL.VSTEST,Vital Signs Test Name,C67153,text,,Pulse Rate,C49676,
362,CL.VSTEST,Vital Signs Test Name,C67153,text,,Systolic Blood Pressure,C25298,
363,CL.VSTEST,Vital Signs Test Name,C67153,text,,Weight,C25208,
364,CL.VSTESTCD,Vital Signs Test Code,C66741,text,,DIABP,C25299,Diastolic Blood Pressure
365,CL.VSTESTCD,Vital Signs Test Code,C66741,text,,FRMSIZE,C49680,Body Frame Size
366,CL.VSTESTCD,Vital Signs Test Code,C66741,text,,HEIGHT,C25347,Height
367,CL.VSTESTCD,Vital Signs Test Code,C66741,text,,PULSE,C49676,Pulse Rate
368,CL.VSTESTCD,Vital Signs Test Code,C66741,text,,SYSBP,C25298,Systolic Blood Pressure
369,CL.VSTESTCD,Vital Signs Test Code,C66741,text,,WEIGHT,C25208,Weight
