,ngram,cleaned
957,parking_lot,parking lot
958,ecologically_sensitive_area,ecologically sensitive area
959,regression_coefficient,regression coefficient
960,toxic_substance,toxic substance
961,green_space,green space
962,traditional_medicine,traditional medicine
963,waterborne_disease,waterborne disease
964,animal_protein,animal protein
965,hand_washing,hand washing
966,land_titling,land titling
967,exhaust_gas,exhaust gas
968,liquid_fuel,liquid fuel
969,prenatal_care,prenatal care
970,carbon_monoxide,carbon monoxide
971,exhaust_emission,exhaust emission
972,land_leveling,land leveling
973,soft_skill,soft skill
974,ford_foundation,ford foundation
975,fiduciary_trustee,fiduciary trustee
976,free_standing,free standing
977,disease_vector,disease vector
978,chronic_malnutrition,chronic malnutrition
979,hydro_thermal,hydro thermal
980,dirt_road,dirt road
981,internet_connectivity,connectivity
982,coastal_erosion,coastal erosion
983,cutting_tree,cut tree
984,clean_drinking_water,clean drinking water
985,internet_user,user
986,power_attorney,power attorney
987,maternal_death,maternal death
988,tax_rebate,tax rebate
989,meteorological_station,meteorological station
990,conference_room,conference room
991,street_vendor,street vendor
992,apartment_building,apartment building
993,video_conference,video conference
994,electrical_appliance,electrical appliance
995,affirmative_action,affirmative action
996,rush_hour,rush hour
997,gender_discrimination,gender discrimination
998,institutional_memory,institutional memory
999,natural_calamity,natural calamity
1000,traffic_jam,traffic jam
1001,sweet_potato,sweet potato
1002,toxic_waste,toxic waste
1003,maternity_leave,maternity leave
1004,bulletin_board,bulletin board
1005,fixed_term,fix term
1006,macro_stability,macro stability
1007,outer_island,outer island
1008,anti_competitive,anti competitive
1009,counter_productive,counter productive
1010,refugee_camp,refugee camp
1011,ambient_noise,ambient noise
1012,flood_prone,flood prone
1013,respiratory_disease,respiratory disease
1014,political_subdivision,political subdivision
1015,macroeconomic_outlook,macroeconomic outlook
1016,wind_farm,wind farm
1017,double_cropping,double cropping
1018,medical_doctor,medical doctor
1019,artificial_insemination,artificial insemination
1020,deputy_chairman,deputy chairman
1021,leak_detection,leak detection
1022,basic_amenity,basic amenity
1023,democratically_elect,democratically elect
1024,mutual_understanding,mutual understanding
1025,household_chore,household chore
1026,dairy_farm,dairy farm
1027,randomize_control_trial,randomize control trial
1028,peak_season,peak season
1029,legislative_assembly,legislative assembly
1030,mutual_trust,mutual trust
1031,fishing_boat,fishing boat
1032,civic_engagement,civic engagement
1033,wind_erosion,wind erosion
1034,wall_street,wall street
1035,pollutant_discharge,pollutant discharge
1036,sex_worker,sex worker
1037,mobile_operator,mobile operator
1038,life_style,life style
1039,coastal_shipping,coastal shipping
1040,absolute_distance,absolute distance
1041,non_metallic_mineral,non metallic mineral
1042,wildlife_sanctuary,wildlife sanctuary
1043,informed_decision,inform decision
1044,economically_sound,economically sound
1045,motor_cycle,motor cycle
1046,slope_stability,slope stability
1047,civil_defense,civil defense
1048,gross_fix_asset,gross fix asset
1049,fishing_vessel,fishing vessel
1050,indoor_air_pollution,indoor air pollution
1051,sovereign_guarantee,sovereign guarantee
1052,motor_car,motor car
1053,semi_skilled,semi skilled
1054,solid_fuel,solid fuel
1055,bus_terminal,bus terminal
1056,catalytic_fund,catalytic fund
1057,sensitive_habitat,sensitive habitat
1058,steering_group,steer group
1059,flush_toilet,flush toilet
1060,preferential_tariff,preferential tariff
1061,casual_labor,casual labor
1062,unfair_competition,unfair competition
1063,skilled_workforce,skilled workforce
1064,electrical_machinery,electrical machinery
1065,civil_aviation_authority,civil aviation authority
1066,arterial_road,arterial road
1067,red_sea,red sea
1068,fiber_optic,fiber optic
1069,pesticide_residue,pesticide residue
1070,disaster_prone,disaster prone
1071,oil_refining,oil refining
1072,slaughter_house,slaughter house
1073,pacific_ocean,pacific ocean
1074,crude_petroleum,crude petroleum
1075,tax_deductible,tax deductible
1076,hydro_electric_power,hydro electric power
1077,drought_prone_area,drought prone area
1078,fishing_port,fishing port
1079,rain_season,rain season
1080,peer_pressure,peer pressure
1081,debit_card,debit card
1082,thermal_power_generation,thermal power generation
1083,groundwater_contamination,groundwater contamination
1084,age_dependency_ratio,age dependency ratio
1085,sine_qua_non,sine qua non
1086,safe_motherhood,safe motherhood
1087,global_positioning,global positioning
1088,non_ferrous_metal,non ferrous metal
1089,learning_curve,learn curve
1090,home_affair,home affair
1091,plenary_session,plenary session
1092,floor_space,floor space
1093,non_reimbursable,non reimbursable
1094,aerial_photography,aerial photography
1095,plastic_bag,plastic bag
1096,everyday_life,everyday life
1097,premature_death,premature death
1098,globally_competitive,globally competitive
1099,seasonal_fluctuation,seasonal fluctuation
1100,causal_chain,causal chain
1101,carbon_footprint,carbon footprint
1102,birth_certificate,birth certificate
1103,toll_free,toll free
1104,core_competency,core competency
1105,desktop_computer,desktop computer
1106,senior_adviser,senior adviser
1107,improper_disposal,improper disposal
1108,geographic_targeting,geographic targeting
1109,atlas_method,method
1110,involuntary_displacement,involuntary displacement
1111,parking_space,parking space
1112,headcount_index,headcount index
1113,amazon_region,amazon region
1114,ethnic_composition,ethnic composition
1115,fragile_ecosystem,fragile ecosystem
1116,cooking_fuel,cook fuel
1117,marine_ecosystem,marine ecosystem
1118,mosquito_net,mosquito net
1119,immovable_asset,immovable asset
1120,demographic_dividend,demographic dividend
1121,improved_seed_fertilizer,improved seed fertilizer
1122,research_fellow,research fellow
1123,soil_compaction,soil compaction
1124,early_morning,early morning
1125,vacant_position,vacant position
1126,natural_regeneration,natural regeneration
1127,financially_autonomous,financially autonomous
1128,biomass_fuel,biomass fuel
1129,sensitization_campaign,sensitization campaign
1130,city_alliance,city alliance
1131,coconut_oil,coconut oil
1132,petroleum_refining,petroleum refining
1133,sexual_harassment,sexual harassment
1134,traditional_birth_attendant,traditional birth attendant
1135,steel_pipe,steel pipe
1136,deep_root,deep root
1137,endemic_specie,endemic specie
1138,turnkey_contract,turnkey contract
1139,preventive_medicine,preventive medicine
1140,soviet_era,soviet era
1141,ozone_layer,ozone layer
1142,cold_storage_facility,cold storage facility
1143,random_sampling,random sampling
1144,catastrophic_event,catastrophic event
1145,hazardous_waste_disposal,hazardous waste disposal
1146,avian_flu,avian flu
1147,semi_structured_interview,semi structured interview
1148,city_hall,city hall
1149,inpatient_care,inpatient care
1150,accidental_spill,accidental spill
1151,shadow_wage,shadow wage
1152,owner_occupier,owner occupier
1153,briefing_note,brief note
1154,essential_medicine,essential medicine
1155,communist_party,communist party
1156,mother_tongue,mother tongue
1157,sulfur_dioxide,sulfur dioxide
1158,exportable_surplus,exportable surplus
1159,radio_broadcast,radio broadcast
1160,drought_relief,drought relief
1161,steam_turbine,steam turbine
1162,topographic_map,topographic map
1163,humanitarian_crisis,humanitarian crisis
1164,round_trip,round trip
1165,game_reserve,game reserve
1166,retail_shop,retail shop
1167,organic_farming,organic farming
1168,cubic_foot,cubic foot
1169,waste_bin,waste bin
1170,sugar_beet,sugar beet
1171,climate_friendly,climate friendly
1172,circuit_breaker,circuit breaker
1173,stock_taking,stock taking
1174,garbage_disposal,garbage disposal
1175,excreta_disposal,excreta disposal
1176,severe_weather,severe weather
1177,animal_traction,animal traction
1178,waiting_list,wait list
1179,sexual_violence,sexual violence
1180,soft_drink,soft drink
1181,pacific_coast,pacific coast
1182,submarine_cable,submarine cable
1183,outpatient_care,outpatient care
1184,grassroot_organization,organization
1185,political_upheaval,political upheaval
1186,legislative_branch,legislative branch
1187,turbine_generator,turbine generator
1188,political_elite,political elite
1189,drought_prone,drought prone
1190,unconditional_cash_transfer,unconditional cash transfer
1191,informed_consent,informed consent
1192,structural_imbalance,structural imbalance
1193,endemic_disease,endemic disease
1194,cashew_nut,cashew nut
1195,cross_fertilization,cross fertilization
1196,customary_tenure,customary tenure
1197,traditional_healer,traditional healer
1198,mother_child_transmission,mother child transmission
1199,fax_machine,fax machine
1200,land_requisition,land requisition
1201,heavily_populated,heavily populated
1202,smart_card,smart card
1203,coastal_wetland,coastal wetland
1204,short_coming,short coming
1205,vaccination_campaign,vaccination campaign
1206,hard_win,hard win
1207,red_flag,red flag
1208,daily_newspaper,daily newspaper
1209,socioeconomic_profile,socioeconomic profile
1210,bottle_neck,bottle neck
1211,high_commissioner_refugee,high commissioner refugee
1212,vertically_integrated,vertically integrate
1213,broadband_network,broadband network
1214,fiber_optic_cable,fiber optic cable
1215,petty_cash,petty cash
1216,open_ended,open end
1217,driving_force,drive force
1218,vegetable_garden,vegetable garden
1219,tour_operator,tour operator
1220,video_conferencing,video conferencing
1221,ethnic_diversity,ethnic diversity
1222,socially_inclusive,socially inclusive
1223,fishing_gear,fishing gear
1224,socially_vulnerable,socially vulnerable
1225,quasi_experimental,quasi experimental
1226,opinion_poll,opinion poll
1227,coastal_strip,coastal strip
1228,reproductive_age,reproductive age
1229,peer_learning,peer learning
1230,calorie_intake,calorie intake
1231,calorific_value,calorific value
1232,flow_velocity,flow velocity
1233,sexual_behavior,sexual behavior
1234,stepping_stone,step stone
1235,anti_erosion,anti erosion
1236,career_advancement,career advancement
1237,dairy_farming,dairy farming
1238,guest_house,guest house
1239,holistic_view,holistic view
1240,desk_officer,desk officer
1241,fiscal_austerity,fiscal austerity
1242,proof_concept,proof concept
1243,digital_camera,digital camera
1244,neonatal_mortality,neonatal mortality
1245,laptop_computer,laptop computer
1246,sand_dune,sand dune
1247,deep_rooted,deep root
1248,politically_acceptable,politically acceptable
1249,radio_frequency,radio frequency
1250,caloric_intake,caloric intake
1251,causal_factor,causal factor
1252,grocery_store,grocery store
1253,imputed_value,imputed value
1254,military_coup,military coup
1255,palm_tree,palm tree
1256,recycled_paper,recycled paper
1257,cellular_phone,cellular phone
1258,randomized_control,randomize control
1259,wind_turbine,wind turbine
1260,bottled_water,bottled water
1261,motor_pump,motor pump
1262,gender_parity_index,gender parity index
1263,aerial_survey,aerial survey
1264,systemic_weakness,systemic weakness
1265,sick_leave,sick leave
1266,log_frame,log frame
1267,civic_participation,civic participation
1268,blood_transfusion,blood transfusion
1269,skilled_birth_attendance,skilled birth attendance
1270,mobile_device,mobile device
1271,geographical_targeting,geographical targeting
1272,common_denominator,common denominator
1273,chronically_poor,chronically poor
1274,upward_mobility,upward mobility
1275,yellow_river,yellow river
1276,currency_swap,currency swap
1277,propensity_score_match,propensity score match
1278,human_trafficking,human trafficking
1279,oil_spillage,oil spillage
1280,driver_seat,driver seat
1281,fishing_fleet,fishing fleet
1282,digital_divide,digital divide
1283,unskilled_job,unskilled job
1284,citizen_charter,citizen charter
1285,peace_dividend,peace dividend
1286,passenger_fare,passenger fare
1287,chief_justice,chief justice
1288,taxi_driver,taxi driver
1289,teenage_pregnancy,teenage pregnancy
1290,hard_rock,hard rock
1291,randomized_experiment,randomize experiment
1292,inter_generational,inter generational
1293,developed_nation,develop nation
1294,generic_drug,generic drug
1295,sexual_partner,sexual partner
1296,mini_bus,mini bus
1297,child_marriage,child marriage
1298,attendance_sheet,attendance sheet
1299,book_keeping,book keeping
1300,news_release,news release
1301,food_stamp,food stamp
1302,aide_memoir,aide memoir
1303,gulf_war,gulf war
1304,olive_oil,olive oil
1305,certified_seed,certify seed
1306,deep_sea,deep sea
1307,climatic_variability,climatic variability
1308,ecological_restoration,ecological restoration
1309,financially_feasible,financially feasible
1310,breast_feeding,breast feeding
1311,town_hall,town hall
1312,white_collar,white collar
1313,culture_heritage,culture heritage
1314,natural_catastrophe,natural catastrophe
1315,vitamin_supplementation,vitamin supplementation
1316,petty_trade,petty trade
1317,infant_death,infant death
1318,soybean_oil,soybean oil
1319,heart_disease,heart disease
1320,ethnic_identity,ethnic identity
1321,multidimensional_poverty,multidimensional poverty
1322,exotic_specie,exotic specie
1323,bio_gas,gas
1324,mega_city,mega city
1325,burial_site,burial site
1326,disaster_resilient,disaster resilient
1327,aerial_photograph,aerial photograph
1328,chronic_illness,chronic illness
1329,metric_tonne,metric tonne
1330,paved_network,paved network
1331,anti_inflationary,anti inflationary
1332,post_natal,post natal
1333,nutritional_supplement,nutritional supplement
1334,cultural_belief,cultural belief
1335,cutting_edge,cut edge
1336,propensity_score,propensity score
1337,drug_abuse,drug abuse
1338,political_appointee,political appointee
1339,multiple_cropping,multiple cropping
1340,informal_settler,informal settler
1341,oral_therapy,oral therapy
1342,random_check,random check
1343,electric_appliance,electric appliance
1344,sole_discretion,sole discretion
1345,acid_rain,acid rain
1346,cocoa_bean,cocoa bean
1347,ocean_freight,ocean freight
1348,logistic_regression,logistic regression
1349,bio_engineering,engineering
1350,smart_phone,smart phone
1351,humanitarian_relief,humanitarian relief
1352,blood_pressure,blood pressure
1353,square_root,square root
1354,substance_abuse,substance abuse
1355,non_negotiable,non negotiable
1356,radioactive_waste,radioactive waste
1357,heat_wave,heat wave
1358,post_communist,post communist
1359,drought_resistant,drought resistant
1360,petty_trading,petty trading
1361,coca_cola,coca cola
1362,heat_stress,heat stress
1363,parental_leave,parental leave
1364,burden_proof,burden proof
1365,iodized_salt,iodized salt
1366,death_toll,death toll
1367,random_error,random error
1368,lease_holder,lease holder
1369,composite_score,composite score
1370,fine_art,fine art
1371,lubricate_oil,lubricate oil
1372,care_giver,care giver
1373,data_gathering,datum gathering
1374,sewing_machine,sew machine
1375,smart_meter,smart meter
1376,fine_particle,fine particle
1377,infectious_waste,infectious waste
1378,birth_attendant,birth attendant
1379,civil_liberty,civil liberty
1380,headcount_ratio,headcount ratio
1381,electromagnetic_field,electromagnetic field
1382,atmospheric_pressure,atmospheric pressure
1383,video_camera,video camera
1384,medicinal_herb,medicinal herb
1385,self_explanatory,self explanatory
1386,sampling_frame,sample frame
1387,child_soldier,child soldier
1388,coffee_bean,coffee bean
1389,big_bang,big bang
1390,panama_canal,panama canal
1391,severance_package,severance package
1392,walking_distance,walk distance
1393,sulfuric_acid,sulfuric acid
1394,blue_collar,blue collar
1395,editorial_board,editorial board
1396,cutoff_point,cutoff point
1397,cross_tabulation,cross tabulation
1398,curriculum_vitae,curriculum vitae
1399,skin_disease,skin disease
1400,rand_corporation,rand corporation
1401,duke_university,duke university
1402,washing_machine,wash machine
1403,office_bearer,office bearer
1404,anti_malaria,anti malaria
1405,governing_body,govern body
1406,tsetse_fly,tsetse fly
1407,like_minded,like minded
1408,clinical_trial,clinical trial
1409,shrimp_farm,shrimp farm
1410,odd_ratio,odd ratio
1411,cargo_container,cargo container
1412,digital_library,digital library
1413,sound_proof,sound proof
1414,food_fortification,food fortification
1415,soviet_bloc,soviet bloc
1416,geological_hazard,geological hazard
1417,donor_funded,donor fund
1418,silver_bullet,silver bullet
1419,iron_sheet,iron sheet
1420,log_linear,log linear
1421,sexual_intercourse,sexual intercourse
1422,sexual_relation,sexual relation
1423,machine_learning,machine learning
1424,artificial_intelligence,artificial intelligence
1425,data_science,data science
