,ade_dru,_sin,le
1321,bled,,
1322,mi,,
1323,epi,,
1324,mi,,
1325,sob,,
1326,kefzol,,
1327,sob,,
1328,sob,,
1329,sob,,
1330,sob,,
1331,antibioitcs,,
1332,rash on chest,,
1333,hives on neck,,
1334,acutely bradycardic,,
1335,hematemesis x2,,
1336,,i bleed,
1337,,i bleed,
1338,nsaid,,
1339,upper ,i bleed,
1340,nsaid,,
1341,upper ,i bleed,
1342,upper ,i bleed,
1343,nsaid,,
1344,upper ,i bleed,
1345,u,ib,
1346,nsaid,,
1347,ace,,
1348,bb,,
1349,make it easier to bleed,,
1350,erosions in your stomach bled,,
1351,periorbital edema,,
1352,diffuse skin etyhema,,
1353,elevated lft's,,
1354,hypotension,,
1355,antihypertensive re,imen,
1356,prolon,ed ptt,
1357,bp meds,,
1358,humeral fracture,,
1359,hypernatremia,,
1360,diuretics,,
1361,vicodin,,
1362,hydrocodone,,
1363,narcotic pain medications,,
1364,nodule,,
1365,lovenox,,
1366,albuterol,,
1367,risk of osteoporosis,,
1368,nephrotoxity,,
1369,cyclosporin,,
1370,diarrhea,,
1371,lactulose,,
1372,brbpr,,
1373,pradaxa,,
1374,hematuria,,
1375,brbpr,,
1376,lower ,i bleedin,
1377,inr was 6.0,,
1378,coumadin,,
1379,atn,,
1380,post-atn diuresis,,
1381,fluids,,
1382,intermittent fevers,,
1383,maculo papular rash,,
1384,maculo papular rash,,
1385,arthral,ias,
1386,lipitor,,
1387,complete heart block,,
1388,diltiazem,,
1389,epistasis,,
1390,a,,rastat
1391,,uaiac positive stools,
1392,a,,rastat
1393,sedative,,
1394,neurontin,,
1395,diffuse morbiliform eruption rash,,
1396,rash,,
1397,rash,,
1398,famotidine,,
1399,heparin,,
1400,toxic-metabolic encephalopathy,,
1401,sedative medications,,
1402,hyperparathyroidism,,
1403,thrombocytopenia,,
1404,heparin,,
1405,subcapsular hepatic bleed,,
1406,blood pressure intolerance,,
1407,dm,,
1408,nitro,lycerine,
1409,acute kidney injury,,
1410,acute kidney injury,,
1411,ace inhibitor,,
1412,codeine,,
1413,loose stools,,
1414,loose stools,,
1415,vitamin k deficiency,,
1416,lasix,,
1417,hypercarbic respiratory failure,,
1418,hypercarbic respiratory failure,,
1419,hypernatremia,,
1420,lasix,,
1421,hypovolemia hyponatremia,,
1422,lasix,,
1423,dru, sensitivity reaction,
1424,piperacillin,,
1425,tazobactam,,
1426,creatinine increase,,
1427,zosyn,,
1428,zosyn,,
1429,chest wall hematoma,,
1430,chest wall hematoma,,
1431,chest wall hematoma,,
1432,fin,ersticks were very elevated,
1433,nervous,,
1434,ciprofloxacin,,
1435,nauseous,,
1436,emesis,,
1437,acute delirium,,
1438,seizures,,
1439,acute psychosis,,
1440,persistent a,itation,
1441,leukosuppression,,
1442,thrombocytopenic,,
1443,fulminant liver failure,,
1444,zithromax,,
1445,lactic acid,,
1446,metformin,,
1447,su,ars are elevated,
1448,type b lactic acidosis,,
1449,leukocytosis,,
1450,dexamethasone,,
1451,cou,h,
1452,ace inhibitor,,
1453,levofloxacin,,
1454,clindamycin,,
1455,colitis,,
1456,ciprofloxacin,,
1457,levofloxacin,,
1458,dystonic reaction,,
1459,haldol,,
1460,oversedated,,
1461,ativan,,
1462,opoid,,
1463,withdrawl,,
1464,narcotic,,
1465,diuretics,,
1466,acei,,
1467,bblocker,,
1468,supratherapeutic inr,,
1469,amlodipine,,
1470,low urine output,,
1471,amlodipine,,
