,< 1 mm organic debric,organic material,functional name,provided by Brian Hayden
1095,Decapoa,Decapoda,,assuming typo
1096,DECAPODA REPTANTIA,decapoda,,provided by Brian Hayden et al. 2018-06-08
1097,Decapod carapace,Decapoda,Wrast 2008,
1098,decapod claws,decapoda,,provided by Brian Hayden et al. 2018-06-08
1099,decapod crabs,decapoda,,provided by Brian Hayden et al. 2018-06-08
1100,decapod crustacea,decapoda,,provided by Brian Hayden et al. 2018-06-08
1101,Decapod crustacea,decapoda,,provided by Brian Hayden et al. 2018-06-08
1102,decapod crustacean,decapoda,,provided by Brian Hayden et al. 2018-06-08
1103,Decapod,Decapoda,,
1104,Decapod legs,Decapoda,Wrast 2008,
1105,Decapod megalops,decapoda,,provided by Brian Hayden et al. 2018-06-08
1106,decapods,decapoda,,provided by Brian Hayden et al. 2018-06-08
1107,Decapods,decapoda,,provided by Brian Hayden et al. 2018-06-08
1108,decapod shrimp,decapoda,,provided by Brian Hayden et al. 2018-06-08
1109,Decapod shrimp,decapoda,,provided by Brian Hayden et al. 2018-06-08
1110,decapod shrimps,decapoda,,provided by Brian Hayden et al. 2018-06-08
1111,Decapod shrimps,decapoda,,provided by Brian Hayden et al. 2018-06-08
1112,Decapod zoea,Decapoda,Barnes 2008,
1113,decomposers/microfauna,Protistae,,mapping provided by Brian Hayden
1114,Decopoda larvae,Decapoda,Akin et al 2006,
1115,Dehhanius dentatus,Dehaanius dentatus,,provided by Brian Hayden et al. 2018-06-08
1116,Deleatidium lilli,Deleatidium lillii,,provided by Brian Hayden et al. 2018-06-08
1117,Deleatidum lilli,Deleatidium lillii,,provided by Brian Hayden et al. 2018-06-08
1118,Deltentosteus quadrimacuatus,Deltentosteus quadrimaculatus,,provided by Brian Hayden et al. 2018-06-08
1119,Dematioscypha richonis var. richonis,Dematioscypha richonis var. richonis,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Dematioscypha%20richonis%20var.%20richonis&spKey=NHMSYS0019999521
1120,Dendobranchiata,Decapoda,,mapping provided by Brian Hayden
1121,Dendrobranchiataspp.,Dendrobranchiata,,
1122,Dendrofissurella scutella,Dendrofissurella scutellum,,provided by Brian Hayden et al. 2018-06-08
1123,Dendrophoma convallariae var. cliviae,Dendrophoma convallariae var. cliviae,BIO_INFO,Found at:  http://eol.org/pages/6425384/overview
1124,Dendrophthoe longiflora,Dendrophthoe longiflora,JRFerrisParisButterflies,Found at:  http://data.gbif.org/species/4002044/
1125,dentritus,detritus,,provided by Brian Hayden et al. 2018-06-08
1126,DepB1 infauna,unidentified,,provided by Brian Hayden et al. 2018-06-08
1127,DepB2b shrimp Caridea,Caridae,,provided by Brian Hayden et al. 2018-06-08
1128,DepB4 echinoderms,echinodermata,,provided by Brian Hayden et al. 2018-06-08
1129,DepB5 amphipods isopods cumaceans,Cumacea,,provided by Brian Hayden et al. 2018-06-08
1130,dermal mucus parent,unidentified,,provided by Brian Hayden et al. 2018-06-08
1131,Dermoloma josserandii var. josserandii,Dermoloma josserandii var. josserandii,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Dermoloma%20josserandii%20var.%20josserandii&spKey=NHMSYS0001480534
1132,Dermoloma josserandii var. phaeopodium,Dermoloma josserandii var. phaeopodium,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Dermoloma%20josserandii%20var.%20phaeopodium&spKey=BMSSYS0000005809
1133,Detrital sediment,Detritus,,mapping provided by Brian Hayden
1134,detritivore,unidentified,,provided by Brian Hayden et al. 2018-06-08
1135,detritivorous invertebrates,unidentified,,provided by Brian Hayden et al. 2018-06-08
1136,detritus algae,Algae,,provided by Brian Hayden et al. 2018-06-08
1137,detritus aufwuchs,Detritus,,provided by Brian Hayden et al. 2018-06-08
1138,detritus clumps,detritus,,provided by Brian Hayden et al. 2018-06-08
1139,detritus,Detritus,,
1140,detritus flakes,detritus,,provided by Brian Hayden et al. 2018-06-08
1141,Detritus plant cichlid,unidentified,,provided by Brian Hayden et al. 2018-06-08
1142,Detritus sand grains,Sand grains,,provided by Brian Hayden et al. 2018-06-08
1143,detritus substrate,Detritus,,provided by Brian Hayden et al. 2018-06-08
1144,Diaixis pigmoea,Diaixis pygmaea,,provided by Brian Hayden et al. 2018-06-08
1145,Diamesid Blond,Chironomidae,,mapping provided by Brian Hayden
1146,Diamesid Brown Orange,Chironomidae,,mapping provided by Brian Hayden
1147,Diaphanasoma,Sididae,,provided by Brian Hayden et al. 2018-06-08
1148,Diaphanosoma brachyum,Sididae,,provided by Brian Hayden et al. 2018-06-08
1149,Diaphanosoma brachyurum,Sididae,,provided by Brian Hayden et al. 2018-06-08
1150,Diaporthe arctii var. artemisiae,Diaporthe arctii var. artemisiae,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Diaporthe%20arctii%20var.%20artemisiae&spKey=BMSSYS0000005829
1151,Diaporthe phaseolorum var. sojae,Diaporthe phaseolorum var. sojae,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Diaporthe%20phaseolorum%20var.%20sojae&spKey=BMSSYS0000005851
1152,Diapromussp,unidentified,,provided by Brian Hayden et al. 2018-06-08
1153,Diapterus/Eugerres spp,Gerreidae,Blewett 2006,
1154,Diaptimus ashalndi,Diaptomidae,,provided by Brian Hayden et al. 2018-06-08
1155,diatoms,Bacillariophyceae,,Term corrected to scientific notation by BrianHayden
1156,diatoms desmids,Desmidiales,,provided by Brian Hayden et al. 2018-06-08
1157,DIATOMS Eunotia sp.,Eunotia,,provided by Brian Hayden et al. 2018-06-08
1158,diatoms in sand,Bacillariophyta,,diatoms are Bacillariophyta according to ITIS
1159,diatoms mostly Cocconeis desmids,Cocconeis,,provided by Brian Hayden et al. 2018-06-08
1160,Dicerogammarus villosus,Dikerogammarus villosus,,provided by Brian Hayden et al. 2018-06-08
1161,Dicheloppandalus leptocerus,Dichelopandalus leptocerus,,provided by Brian Hayden et al. 2018-06-08
1162,Dicranophoridae,Dictyopharidae,,provided by Brian Hayden et al. 2018-06-08
1163,Didemnid ascidians,Anoplodelphys,,provided by Brian Hayden et al. 2018-06-08
1164,didemnids,Didemnium,,provided by Brian Hayden et al. 2018-06-08
1165,Difflugiids,Difflugia,,provided by Brian Hayden et al. 2018-06-08
1166,Digestate,Organic matter,Wrast 2008,
1167,Dimeromyces corynetis,Dimeromyces corynetis,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Dimeromyces%20corynetis&spKey=NBNSYS0000018115
1168,dinoflagellates,Dinoflagellata,,Term corrected to scientific notation by BrianHayden
1169,diogenids,Diogenidae,,provided by Brian Hayden et al. 2018-06-08
1170,Diogeninae glaucothoe,Diogenidae,,provided by Brian Hayden et al. 2018-06-08
1171,Diplodia buxi var. minor,Diplodia buxi var. minor,BIO_INFO,Found at:  http://eol.org/pages/32474114/overview
1172,Diplodia saccardiana var. anglica,Diplodia saccardiana var. anglica,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Diplodia%20saccardiana%20var.%20anglica&spKey=NHMSYS0020811829
1173,Diplodus annularia,Diplodus annularis,,provided by Brian Hayden et al. 2018-06-08
1174,Diplodus caudimaculata,Strongylura strongylura,WoRMS; js,Invalid name provided by the contributor
1175,Diptera 1,Diptera,,
1176,Diptera 2,Diptera,,
1177,DIPTERA CHIRONOMIDAE,Chironomidae,,provided by Brian Hayden et al. 2018-06-08
1178,Diptera midges(pupa),Diptera,Akin et al 2006,
1179,dipteran,Diptera,,provided by Brian Hayden et al. 2018-06-08
1180,Dipteran,Diptera,,provided by Brian Hayden et al. 2018-06-08
1181,dipteran insects,Diptera,,provided by Brian Hayden et al. 2018-06-08
1182,Dipteran (not Chironomidae),Diptera,,mapping provided by Brian Hayden
1183,Dipteran not,Not Diptera,,provided by Brian Hayden et al. 2018-06-08
1184,dipteran pupa,Diptera,,provided by Brian Hayden et al. 2018-06-08
1185,dipterans,Diptera,,provided by Brian Hayden et al. 2018-06-08
1186,Dipterans,Diptera,,provided by Brian Hayden et al. 2018-06-08
1187,dissolved organic matter,organic material,,assumed to be acronym for particulate organic matter
1188,div. Invertebrates.,Invertebrates,,provided by Brian Hayden et al. 2018-06-08
1189,dixid,Dixidae,,provided by Brian Hayden et al. 2018-06-08
1190,Dodecaceria fewkasi,Dodecaceria fewkesi,,provided by Brian Hayden et al. 2018-06-08
1191,Dolioidae,Doliolidae,http://eol.org/pages/1578,provided by Anne Thessen on 2015-06-05
1192,dolphin Coryphaena,Coryphaena hippurus,,provided by Brian Hayden et al. 2018-06-08
1193,dolphinfishes,Coryphaena hippurus,,provided by Brian Hayden et al. 2018-06-08
1194,dolphins,Odontoceti,,Term corrected to scientific notation by BrianHayden
1195,Donacidae,Donacidae,,provided by Brian Hayden et al. 2018-06-08
1196,Doncellas,Labridae,,provided by Brian Hayden et al. 2018-06-08
1197,doplhinfishes,Coryphaena hippurus,,provided by Brian Hayden et al. 2018-06-08
1198,Dothiorella pyrenophora var. mali,Dothiorella pyrenophora var. mali,BIO_INFO,Found at:  http://eol.org/pages/6436811/overview
1199,Dothiorella pyrenophora var. pyrenophora,Dothiorella pyrenophora var. pyrenophora,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Dothiorella%20pyrenophora%20var.%20pyrenophora&spKey=NHMSYS0020535394
1200,Dothiorella pyrenophora var. salicis,Dothiorella pyrenophora var. salicis,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Dothiorella%20pyrenophora%20var.%20salicis&spKey=BMSSYS0000006236
1201,dragonets scotter blennies,Synchiropus ocellatus,,provided by Brian Hayden et al. 2018-06-08
1202,dragon fish,Leptostomias macronema,,provided by Brian Hayden et al. 2018-06-08
1203,dragonflies damselflies,Anisoptera,,provided by Brian Hayden et al. 2018-06-08
1204,dragon fly,Anisoptera,,provided by Brian Hayden et al. 2018-06-08
1205,dragon fly nymph,Anisoptera,,provided by Brian Hayden et al. 2018-06-08
1206,dragonfly nymph,Anisoptera,,provided by Brian Hayden et al. 2018-06-08
1207,Drepanophora tuberculatum,Heteropoma tuberculatum,js,
1208,Dromidia hirsutiisma,Dromidia hirsutissima,,provided by Brian Hayden et al. 2018-06-08
1209,droppings herbivores,detritus,,provided by Brian Hayden et al. 2018-06-08
1210,drum,inorganic,,provided by Brian Hayden et al. 2018-06-08
1211,drums,Sciaenidae,,provided by Brian Hayden et al. 2018-06-08
1212,Duckbill flathead,Bembrops anatirostris,,
1213,Dungeness crab,Metacarcinus magister,https://www.wikidata.org/wiki/Q1936093,common name
1214,Dusky flounder,Syacium papillosum,,
1215,Dwarf goatfish,Upeneus parvus,,
1216,dwelling organisms,dwelling organisms,,provided by Brian Hayden et al. 2018-06-08
1217,Dyliscidae,Dytiscidae,,provided by Brian Hayden et al. 2018-06-08
1218,Dynamenella scrabicula,Dynamenella scabricula,,provided by Brian Hayden et al. 2018-06-08
1219,Dysticidae,Dytiscidae,,provided by Brian Hayden et al. 2018-06-08
1220,Dytiscid,Dytiscidae,,provided by Brian Hayden et al. 2018-06-08
1221,earthworm,Lumbricina,,provided by Brian Hayden et al. 2018-06-08
1222,Echinarachnus parma,Echinarachnius parma,,provided by Brian Hayden et al. 2018-06-08
1223,echinoderm,Echinodermata,,provided by Brian Hayden et al. 2018-06-08
1224,echinoderms,Echinodermata,,
1225,Echinogrammus,Gammaridae,,provided by Brian Hayden et al. 2018-06-08
1226,Echinoid,Echinoidea,,provided by Brian Hayden et al. 2018-06-08
1227,Echinoid pedicellaria,Pedicellaria,,provided by Brian Hayden et al. 2018-06-08
1228,echinoids,Echinoidea,,provided by Brian Hayden et al. 2018-06-08
1229,Echiophus punctifer,Echiophis punctifer,http://eol.org/pages/994782,provided by Anne Thessen on 2015-06-05
1230,echiurids,Echiura,,provided by Brian Hayden et al. 2018-06-08
1231,Echiuroida,Echiuroidea,,provided by Brian Hayden et al. 2018-06-08
1232,echiuroids,echiuroidea,,provided by Brian Hayden et al. 2018-06-08
1233,Echiurus schiurus,Echiurus echiurus,,provided by Brian Hayden et al. 2018-06-08
1234,Echiurus unicinctus,Urechis unicinctus,,provided by Brian Hayden et al. 2018-06-08
1235,Echneidae,Echeneidae,,corrected assumed typo using https://en.wikipedia.org/wiki/Echeneidae and http://eol.org/pages/5331/overview
1236,ECTOPROCTA BRYOZOA,Ectoprocta,,provided by Brian Hayden et al. 2018-06-08
1237,edible material,organic material,,provided by Brian Hayden et al. 2018-06-08
1238,eech,Hirudinea,,provided by Brian Hayden et al. 2018-06-08
1239,Eel,Anguilliformes,,
1240,Efemeroptera,Ephemeroptera,,provided by Brian Hayden et al. 2018-06-08
1241,egg,Animalia,,as discussed with author Dr. Carolyn Barnes
1242,Egg capsules,Animalia,,
1243,eggcarrying cladocerans,Branchiopoda,,provided by Brian Hayden et al. 2018-06-08
1244,Eggs,Animalia,,
1245,E. infrequens,Entrophospora infrequens,,provided by Brian Hayden et al. 2018-06-08
1246,Elasmobranch,Elasmobranchii,,
1247,Elasmopus pectinicrus,Elasmopus pectenicrus,,provided by Brian Hayden et al. 2018-06-08
1248,Eleotrids,Eleotridae,,provided by Brian Hayden et al. 2018-06-08
1249,elmid,Elmidae,,provided by Brian Hayden et al. 2018-06-08
1250,Elmid,Elmidae,,provided by Brian Hayden et al. 2018-06-08
1251,elmids beetles,Elmidae,,provided by Brian Hayden et al. 2018-06-08
1252,elmids,Elmidae,,provided by Brian Hayden et al. 2018-06-08
1253,Elmids,Elmidae,,provided by Brian Hayden et al. 2018-06-08
1254,Elo saurus,Elops saurus,,
1255,embiotocid perch,Embiotocidae,,provided by Brian Hayden et al. 2018-06-08
1256,emergent plants,Plantae,,
1257,emerging aquatic invertebrates,Animalia,,
1258,Emiliani huxleyi,Emiliania huxleyi,Roopnarine et al 2013,according to WoRMS; is Coccolithus huxleyi in ITIS
1259,emmelichthyids,Emmelichthyops,,provided by Brian Hayden et al. 2018-06-08
1260,Enchinometra lucunter,Echinoidea,,mapping provided by Brian Hayden
1261,encrusting algae,Corallinales,,provided by Brian Hayden et al. 2018-06-08
1262,Encrusting Bryozoan spp.,Bryozoa,,mapping provided by Brian Hayden
1263,Encrusting red algae spp.,Algae,,mapping provided by Brian Hayden
1264,encrusting sponge,Clathria (Isociella) oudekraalensis,,provided by Brian Hayden et al. 2018-06-08
1265,Encrusting sponge spp.,Porifera,,mapping provided by Brian Hayden
1266,Endochrionomus,Chironomidae,,mapping provided by Brian Hayden
1267,Englauris mordax,Engraulis,,provided by Brian Hayden et al. 2018-06-08
1268,engraulids,Engraulidae,,provided by Brian Hayden et al. 2018-06-08
1269,Engraulis encrassicholus,Engraulis encrasicolus,,provided by Brian Hayden et al. 2018-06-08
1270,Enopleuteuthidae,Enopleuteuthidae,,provided by Brian Hayden et al. 2018-06-08
1271,enoploteuthid cephalopod,Enoplognatha,,provided by Brian Hayden et al. 2018-06-08
1272,enoploteuthid cephalopods,Enoplognatha,,provided by Brian Hayden et al. 2018-06-08
1273,Enterpina,Euterpina acutifrons,,provided by Brian Hayden et al. 2018-06-08
1274,Entoloma chalybaeum var. chalybaeum,Entoloma chalybaeum var. chalybaeum,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Entoloma%20chalybaeum%20var.%20chalybaeum&spKey=NHMSYS0020812571
1275,Entoloma chalybaeum var. lazulinum,Entoloma chalybaeum var. lazulinum,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Entoloma%20chalybaeum%20var.%20lazulinum&spKey=NHMSYS0020812577
1276,Entoloma conferendum var. conferendum,Entoloma conferendum var. conferendum,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Entoloma%20conferendum%20var.%20conferendum&spKey=BMSSYS0000006472
1277,Entoloma conferendum var. pusillum,Entoloma conferendum var. pusillum,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Entoloma%20conferendum%20var.%20pusillum&spKey=NHMSYS0001481532
1278,Entoloma indutoides var.  griseorubidum,Entoloma indutoides var. griseorubidum,BIO_INFO,Found at:  http://eol.org/pages/11526324/overview
1279,Entoloma indutoides var. indutoides,Entoloma indutoides var. indutoides,BIO_INFO,Found at:  http://eol.org/pages/6702164/overview
1280,Entoloma infula var. chlorinosum,Entoloma infula var. chlorinosum,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Entoloma%20infula%20var.%20chlorinosum&spKey=NHMSYS0001481573
1281,Entoloma infula var. infula,Entoloma infula var. infula,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Entoloma%20infula%20var.%20infula&spKey=NHMSYS0001481574
1282,Entoloma longistriatum var. longistriatum,Entoloma longistriatum var. longistriatum,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Entoloma%20longistriatum%20var.%20longistriatum&spKey=BMSSYS0000006492
1283,Entoloma longistriatum var. sarcitulum,Entoloma longistriatum var. sarcitulum,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Entoloma%20longistriatum%20var.%20sarcitulum&spKey=BMSSYS0000006494
1284,Entoloma mougeotii var. fuscomarginatum,Entoloma mougeotii var. fuscomarginatum,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Entoloma%20mougeotii%20var.%20fuscomarginatum&spKey=NHMSYS0001481602
1285,Entoloma mougeotii var. mougeotii,Entoloma mougeotii var. mougeotii,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Entoloma%20mougeotii%20var.%20mougeotii&spKey=NHMSYS0001481603
1286,Entoloma poliopus var. discolor,Entoloma poliopus var. discolor,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Entoloma%20poliopus%20var.%20discolor&spKey=BMSSYS0000006512
1287,Entoloma poliopus var. parvisporigerum,Entoloma poliopus var. parvisporigerum,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Entoloma%20poliopus%20var.%20parvisporigerum&spKey=BMSSYS0000006513
1288,Entoloma poliopus var. poliopus,Entoloma poliopus var. poliopus,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Entoloma%20poliopus%20var.%20poliopus&spKey=NHMSYS0001481628
1289,Entoloma rhombisporum var. floccipes,Entoloma rhombisporum var. floccipes,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Entoloma%20rhombisporum%20var.%20floccipes&spKey=NHMSYS0001481652
1290,Entoloma rhombisporum var. rhombisporum,Entoloma rhombisporum var. rhombisporum,BIO_INFO,Found at;  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Entoloma%20rhombisporum%20var.%20rhombisporum&spKey=NHMSYS0001481653
1291,Entoloma sericeum var. cinereo-opacum,Entoloma sericeum var. cinereo-opacum,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Entoloma%20sericeum%20var.%20cinereo-opacum&spKey=BMSSYS0000006533
1292,Entoloma sericeum var. sericeum,Entoloma sericeum var. sericeum,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Entoloma%20sericeum%20var.%20sericeum&spKey=NHMSYS0001481671
1293,Entomostraca,Crustacea,,mapping provided by Brian Hayden
1294,entomostracans,Crustacea,,provided by Brian Hayden et al. 2018-06-08
1295,Eocuma lanata,Eocuma lanata,,provided by Brian Hayden et al. 2018-06-08
1296,Eoparagyractis,Crambidae,,http://www.inaturalist.org/taxa/317682-Eoparargyractis
1297,Eophiliantidae,Amphipoda,,mapping provided by Brian Hayden
1298,Ephausiids,Euphausiacea,,provided by Brian Hayden et al. 2018-06-08
1299,ephemerellids,Ephemerellidae,,provided by Brian Hayden et al. 2018-06-08
1300,Ephemerida,Ephemeridae,,provided by Brian Hayden et al. 2018-06-08
1301,Ephemerida naiads,Ephemeridae,,provided by Brian Hayden et al. 2018-06-08
1302,ephemerid,Ephemeridae,,provided by Brian Hayden et al. 2018-06-08
1303,ephemeropteran,Ephemeroptera,,provided by Brian Hayden et al. 2018-06-08
1304,Ephemeropteran,Ephemeroptera,,provided by Brian Hayden et al. 2018-06-08
1305,ephemeropterans,Ephemeroptera,,provided by Brian Hayden et al. 2018-06-08
1306,Ephemeropterans,Ephemeroptera,,provided by Brian Hayden et al. 2018-06-08
1307,Ephemroptera,Ephemroptera,,provided by Brian Hayden et al. 2018-06-08
1308,ephemropteran,Ephemeroptera,,provided by Brian Hayden et al. 2018-06-08
1309,ephemropterans,Ephemeroptera,,provided by Brian Hayden et al. 2018-06-08
1310,epilithic algae,Algae,,provided by Brian Hayden et al. 2018-06-08
1311,epilithic sponges,Porifera,,provided by Brian Hayden et al. 2018-06-08
1312,Epinephelus drummond-hayi,Epinephelus drummondhayi,http://eol.org/pages/207212/overview,assumed typo
1313,Epinephelussp,Epinephelus,,assumed typo
1314,epiphytes,Epiphyte,,provided by Brian Hayden et al. 2018-06-08
1315,epiphytes stems roots,Epiphyte roots,,provided by Brian Hayden et al. 2018-06-08
1316,epiphytic algae,Algae,,mapping provided by Brian Hayden
1317,epiphytic diatoms,Elysia evelinae,,provided by Brian Hayden et al. 2018-06-08
1318,Epiphytic diatoms,Elysia evelinae,,provided by Brian Hayden et al. 2018-06-08
1319,epiphytic plants,Epiphyte,,provided by Brian Hayden et al. 2018-06-08
1320,Epishura baicalensis,Epischura baikalensis,,provided by Brian Hayden et al. 2018-06-08
1321,Epishura lacustris,Epischura lacustris,http://eol.org/pages/340949,mapping provided by Brian Hayden
1322,epontic microalgae,Algae,,mapping provided by Brian Hayden
1323,Eretmodus cyanosticus,Eretmodus cyanostictus,,provided by Brian Hayden et al. 2018-06-08
1324,Erichonius,Ericthonius,,provided by Brian Hayden et al. 2018-06-08
1325,Erichthonius hunteri,Ericthonius,,provided by Brian Hayden et al. 2018-06-08
1326,Erichtonius brasiliensis,Erichthonius brasiliensis,Wrast 2008,
1327,Ericthonius braziliensis,Ericthonius brasiliensis,,provided by Brian Hayden et al. 2018-06-08
1328,Erictonius,Ericthonius,,provided by Brian Hayden et al. 2018-06-08
1329,Eriophyes nervisequus var maculifer,Eriophyes nervisequus var. maculifer,BIO_INFO,Found at:  http://eol.org/pages/17262453/overview
1330,Erioptera confluens,Erioptera confluens,,provided by Brian Hayden et al. 2018-06-08
1331,errant annelid,Annelida,,replaced with scientific name https://en.wikipedia.org/wiki/Annelid
1332,errant large annelid,Annelida,,replaced with scientific https://en.wikipedia.org/wiki/Annelid
1333,errant polychaetes,Polychaeta,,provided by Brian Hayden et al. 2018-06-08
1334,Errant polychaetes,Polychaeta,,provided by Brian Hayden et al. 2018-06-08
1335,Erysiphe aquilegiae var. aquilegiae,Erysiphe aquilegiae var. aquilegiae,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Erysiphe%20aquilegiae%20var.%20aquilegiae&spKey=NBNSYS0000016784
1336,Erysiphe aquilegiae var. ranunculi,Erysiphe aquilegiae var. ranunculi,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Erysiphe%20aquilegiae%20var.%20ranunculi&spKey=NHMSYS0001481890
1337,Erysiphe ornata var. europaea,Erysiphe ornata var. europaea,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Erysiphe%20ornata%20var.%20europaea&spKey=NHMSYS0001481939
1338,Erysiphe pisi var. cruchetiana,Erysiphe pisi var. cruchetiana,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Erysiphe%20pisi%20var.%20cruchetiana&spKey=NBNSYS0000016813
1339,Erysiphe pisi var. pisi,Erysiphe pisi var. pisi,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Erysiphe%20pisi%20var.%20pisi&spKey=NBNSYS0000016812
1340,Erysiphe trifolii var. intermedia,Erysiphe trifolii var. intermedia,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Erysiphe%20trifolii%20var.%20intermedia&spKey=NHMSYS0001481961
1341,Erythrops eryhtrophthalma,Erythrops erythrophthalmus,,provided by Brian Hayden et al. 2018-06-08
1342,Eschinogammarus veneris,Gammaridae,,provided by Brian Hayden et al. 2018-06-08
1343,E. superba eggs,Euphausia superba,Barnes 2008,
1344,E.superba furcilia,Euphausia superba,,as discussed with author Dr. Carolyn Barnes
1345,E. superba nauplius,Euphausia superba,Barnes 2008,
1346,Etualus,Eualus,,provided by Brian Hayden et al. 2018-06-08
1347,Eualus barbata,Eualus barbatus,,provided by Brian Hayden et al. 2018-06-08
1348,Eualus macrophthalma,Eualus macrophthalmus,,provided by Brian Hayden et al. 2018-06-08
1349,Eubranchipoda,Chirocephalidae,,provided by Brian Hayden et al. 2018-06-08
1350,eucalanid copepods,Eucalanidae,,provided by Brian Hayden et al. 2018-06-08
1351,Eucalanus bungi,Euchirella truncata,,provided by Brian Hayden et al. 2018-06-08
1352,Euc gula,Eucinostomus gula,,
1353,Euchirella propia,Euchirella truncata,,provided by Brian Hayden et al. 2018-06-08
1354,Euchirograspus sp.,Euchirograpsus,Simons 1997,
1355,Eucopepoda,Copepoda,,mapping provided by Brian Hayden
1356,Eucratodes agassizi,Eucratodes agassizii,Simons 1997,
1357,Eugnathostomata,Gnathostomata,,provided by Brian Hayden et al. 2018-06-08
1358,Eukieferiella pseudomontana,Eukiefferiella pseudomontana,,provided by Brian Hayden et al. 2018-06-08
1359,Eukiefidriella,Eukiefferiella,,provided by Brian Hayden et al. 2018-06-08
1360,Eukiefiriella,Eukiefferiella,,provided by Brian Hayden et al. 2018-06-08
1361,Euphasiacea,Euphausiacea,,provided by Brian Hayden et al. 2018-06-08
1362,Euphasia crystallorophias,Euphausia crystallorophias,,provided by Brian Hayden et al. 2018-06-08
1363,Euphasia pacifica,Euphausia pacifica,,provided by Brian Hayden et al. 2018-06-08
1364,euphasiids,Euphausiacea,,provided by Brian Hayden et al. 2018-06-08
1365,euphasiid shrimp,Euphausiacea,,provided by Brian Hayden et al. 2018-06-08
1366,Euphausa superba,Euphausia superba,Barnes 2008,
1367,Euphausa vallentini,Euphausia,,provided by Brian Hayden et al. 2018-06-08
1368,Euphausiaceae,Euphausiacea,,provided by Brian Hayden et al. 2018-06-08
1369,euphausiaceans,Euphausiacea,,provided by Brian Hayden et al. 2018-06-08
1370,Euphausia crystallorophia,Euphausia crystallorophias,,provided by Brian Hayden et al. 2018-06-08
1371,Euphausia kronhni,Euphausia krohnii,,provided by Brian Hayden et al. 2018-06-08
1372,Euphausia luceus,Euphausia lucens,,provided by Brian Hayden et al. 2018-06-08
1373,Euphausia vallentinii,Euphausia,,provided by Brian Hayden et al. 2018-06-08
1374,Euphausid calyptopis,Euphausidae,,as discussed with author Dr. Carolyn Barnes
1375,Euphausid furcilia,Euphausiacea,Barnes 2008,
1376,euphausids,Euphausiacea,,provided by Brian Hayden et al. 2018-06-08
1377,Euphausiid calyptopis,Euphausiacea,,provided by Brian Hayden et al. 2018-06-08
