,﻿harm,v. cause or do harm to
274,evil,"n. morally objectionable behavior
n. that which causes harm or destruction or misfortune; the good is oft interred with their bones""- Shakespeare
n. the quality of being morally wrong in principle or practice
a. morally bad or wrong"
275,involve,"v. connect closely and often incriminatingly
v. engage as a participant
v. contain as a part
v. occupy or engage the interest of"
276,scientific,"a. of or relating to the practice of science
a. conforming with the principles or methods used in science"
277,credit,"n. money available for a client to borrow
n. an accounting entry acknowledging income or capital items
n. used in the phrase `to your credit' in order to indicate an achievement deserving praise; 
n. arrangement for deferred payment for goods and services"
278,moral,"n. the significance of a story or event
a. concerned with principles of right and wrong or conforming to standards of behavior and character based on those principles
s. psychological rather than physical or tangible in effect"
279,apply,"v. be pertinent or relevant or applicable
v. ask (for something)
v. refer (a word or name) to a person or thing
v. apply oneself to"
280,negate,v. prove negative; show to be false
281,intellectual,"n. a person who uses the mind creatively
s. of or associated with or requiring the use of the mind
a. appealing to or using the intellect"
282,mystery,"n. something that baffles understanding and cannot be explained
n. a story about a crime (usually murder) presented as a novel or play or movie"
283,let sb. down,n a feeling of dissatisfaction that results when your expectations are not realized
284,ignorance,n. the lack of knowledge or education
285,as to,none
286,take it for granted,none
287,freedom,n. the condition of being free; the power to act or speak or think without externally imposed restraints
288,authority,"n. the power or right to give orders or make decisions
n. (usually plural) persons who exercise (administrative) control over others
n. an expert whose views are taken as definitive
n. official permission or approval"
289,permit,"n. large game fish; found in waters of the West Indies
v. consent to, give permission"
290,responsibility,n. a form of trustworthiness; the trait of being answerable to someone for something or being responsible for one's conduct
291,declare,"v. state emphatically and authoritatively
v. state firmly
v. declare to be
v. authorize payments of"
292,nationality,"n. people having common origins or traditions and often comprising a nation
n. the status of belonging to a particular nation by birth or naturalization"
293,put forward,none
294,evolution,n. (biology) the sequence of events involved in the evolutionary development of a species or taxonomic group of organisms
295,publish,"v. prepare and issue for public distribution or sale
v. have (one's written work) issued for publication"
296,marriage,"n. the state of being a married couple voluntarily joined for life (or until divorce)
n. two people who are married to each other
n. the act of marrying; the nuptial ceremony
n. a close and intimate union"
