,AMZN,Amazoncom Inc,20111206,Amazon to buy over 450 children's book titles ,Amazon.com Inc said on Tuesday it agreed to acquire more than 450 children's book titles in the U.S. from publisher Marshall Cavendish.,topStory
129,PG,Procter & Gamble Company (The),20111206.0,Helen of Troy to buy P&G's water filtration business ,Helen of Troy Ltd  will buy Procter & Gamble Co's  PUR water filtration business  including manufacturing facilities  for an undisclosed sum to expand its consumer healthcare segment.,topStory
130,PG,Procter & Gamble Company (The),20111206.0,UPDATE 1-Helen of Troy to buy P&G's water filtration business ,Dec 6 Helen of Troy Ltd will buy Procter & Gamble Co's PUR water filtration business  including manufacturing facilities  for an undisclosed sum to expand its consumer healthcare segment.,normal
131,PJH,Prudential Financial Inc,20111206.0,UPDATE 1-Prudential to exit real estate brokerage business ,DEC 6 Prudential Financial Inc  said it will sell its real estate brokerage and relocation services business to an affiliate of Canada's Brookfield Asset Management for about $110 million.,topStory
132,PRH,Prudential Financial Inc,20111206.0,UPDATE 1-Prudential to exit real estate brokerage business ,DEC 6 Prudential Financial Inc  said it will sell its real estate brokerage and relocation services business to an affiliate of Canada's Brookfield Asset Management for about $110 million.,topStory
133,PRU,Prudential Financial Inc,20111206.0,UPDATE 1-Prudential to exit real estate brokerage business ,DEC 6 Prudential Financial Inc  said it will sell its real estate brokerage and relocation services business to an affiliate of Canada's Brookfield Asset Management for about $110 million.,topStory
134,RENN,Renren Inc,20111206.0,Flipboard app launches first international edition in China ,SHANGHAI Popular Apple iPad news application  Flipboard  said on Tuesday it has partnered with China's Sina Corp and Renren Inc to launch a Chinese edition of the application to woo users in the world's largest Internet market.,topStory
135,RENN,Renren Inc,20111206.0,Flipboard app launches first international edition in China ,SHANGHAI  Dec 6 Popular Apple  iPad news application  Flipboard  said on Tuesday it has partnered with China's Sina Corp and Renren Inc  to launch a Chinese edition of the application to woo users in the world's largest Internet market.,normal
136,SAP,SAP SE,20111206.0,SuccessFactors to buy peer for $110 million ,Human resources management software maker SuccessFactors Inc   which has been acquired by SAP AG   said it will buy privately held peer jobs2web for $110 million in cash  as it ramps up its services.,topStory
137,SAP,SAP SE,20111206.0,UPDATE 1-SuccessFactors to buy peer for $110 mln ,Dec 6 Human resources management software maker SuccessFactors Inc  which has been acquired by SAP AG  said it will buy privately held peer jobs2web for $110 million in cash  as it ramps up its services.,normal
138,SAP,SAP SE,20111206.0,Analysis: SAP's new cloud czar to take on Salesforce  Oracle ,SAP AG's purchase of Web-based software company SuccessFactors Inc could be the catalyst the old-school German technology giant needs to try to catch up to rivals in the fast-growing cloud computing market.,normal
139,SFL,Ship Finance International Limited,20111206.0,UPDATE 2-Norway's Frontline restructures to battle downturn ,OSLO  Dec 6 Frontline  the largest independent global oil tanker operator  has unveiled a restructuring plan that will spare its investors a lot of pain and force Ship Finance International to take a big hit.,topStory
140,STI,SunTrust Banks Inc,20111206.0,UPDATE 1-SunTrust CEO says mortgage buybacks rise in Q4 ,"Dec 6 SunTrust Banks Inc's  fourth-quarter mortgage repurchase costs will be ""well above"" those of previous periods  the regional bank's chief executive said on Tuesday.",topStory
141,TEL,TE Connectivity Ltd,20111206.0,UPDATE 3-TE Connectivity targets $20 billion sales by 2015 ,Dec 6 Connector maker TE Connectivity Ltd affirmed its 2012 sales and profit forecast on Tuesday and said it aimed for at least $20 billion in sales by its 2015 fiscal year.,topStory
142,TEF,Telefonica SA,20111206.0,Sandvine shares plunge on weak outlook ,Network equipment maker Sandvine Corp  said it expects fourth-quarter revenue to fall by about a fifth as some of its largest customers hold back on spending  sending its shares down 31 percent to a two-year low.,topStory
143,BX,The Blackstone Group LP,20111206.0,Blackstone Asia head eyes growth in China  Southeast Asia ,HONG KONG Blackstone Group L.P.  sees China and Southeast Asia as top destinations for Asia investments next year as it aims to benefit from buoyant consumer markets there  the Asia-Pacific head of the private equity firm said on Tuesday.,topStory
144,TOL,Toll Brothers Inc,20111206.0,Toll Brothers results beat Street  margins rise ,Luxury homebuilder Toll Brothers Inc  reported higher-than-expected quarterly profit from greater margins  and issued a forecast for new orders that may reflect a bottoming of the U.S. housing market following a long decline.,topStory
145,TOL,Toll Brothers Inc,20111206.0,UPDATE 2-Toll Brothers results beat Street  margins strong ,Dec 6 Luxury homebuilder Toll Brothers Inc reported higher-than-expected quarterly sales and earnings as gross margins topped forecasts.,normal
146,TTC,Toro Company (The),20111206.0,UPDATE 1-Toro Q4 beats Street; sees strong 2012 ,Dec 6 Toro Co reported better-than-expected quarterly results  helped by a 14 percent rise in its professional segment sales and guided 2012 results above analysts' expectations.,topStory
147,TLP,TransMontaigne Partners LP,20111206.0,TransMontaigne to increase Miss.  Ohio tankage ,NEW YORK  Dec 6 TransMontaigne Partners LP said on Tuesday that it would increase the capacity at its Collins  Mississippi and East Liverpool  Ohio terminals.,topStory
148,UL,Unilever PLC,20111206.0,Unilever prepares for UK strike on Dec. 9 ,LONDON  Dec 6 Consumer goods maker Unilever Plc/NV  said customers would not be affected by its first strike in Britain on Friday by workers who are fighting the axing of their final salary pension scheme.,topStory
149,VZ,Verizon Communications Inc,20111206.0,Exclusive: Verizon to take on Netflix with Web service ,NEW YORK Verizon Communications Inc plans to launch a standalone service allowing customers to stream movies and television shows over the Web  in a fresh challenge to Netflix Inc and the traditional cable TV business  according to several people briefed on the plan.,topStory
150,VZA,Verizon Communications Inc,20111206.0,Exclusive: Verizon to take on Netflix with Web service ,NEW YORK Verizon Communications Inc plans to launch a standalone service allowing customers to stream movies and television shows over the Web  in a fresh challenge to Netflix Inc and the traditional cable TV business  according to several people briefed on the plan.,topStory
151,WFC,Wells Fargo & Company,20111206.0,UPDATE 3-Wells Fargo well positioned for stress test - CEO ,"Dec 6 Wells Fargo & Co is ""well positioned"" for upcoming stress tests of the largest U.S. banks  Chief Executive John Stumpf said on Tuesday.",topStory
152,YGE,Yingli Green Energy Holding Company Limited,20111206.0,Analysis: Solar companies to seek deep pockets in downturn ,Struggling solar manufacturers will likely be driven into mergers with rivals to survive a sector squeeze  a trend that could draw major Asian conglomerates deeper into the renewable energy sector.,topStory
153,NSU,Nevsun Resources Ltd,20111206.0,UPDATE 1-Nevsun sees no impact from UN sanctions on Eritrea ,Dec 6 Canadian gold producer Nevsun Resources Ltd said United Nations sanctions against Eritrea should have no direct impact either on the company or its mining operations in the African country.,topStory
