,on,is
1432,löysimme,we found
1433,jake,jake
1434,laitan,I put
1435,tuletko,are you coming
1436,sulje,bracket
1437,pelottaa,scare
1438,hyväksi,for
1439,pitämään,to keep
1440,pidin,holder
1441,päässyt,reached
1442,tuntenut,felt the
1443,toiseen,another
1444,aseita,weapons
1445,juhlat,party
1446,mitkä,what
1447,mistään,any
1448,hengissä,alive
1449,vahva,strong
1450,i,i
1451,hullua,crazy
1452,tommy,tommy
1453,eipä,let's not
1454,oii,oii
1455,käskin,commanded
1456,tarkoitatko,you mean
1457,päättää,decide
1458,soitin,instrument
1459,kuvitella,imagine
1460,moni,multi
1461,maksan,liver
1462,ehdottomasti,absolutely
1463,välittömästi,direct
1464,etsivä,detective
1465,annat,you give
1466,johon,which
1467,danny,danny
1468,käänny,turn
1469,takaa,from behind
1470,katsos,you see
1471,voisitteko,could you
1472,sinäkö,dost thou
1473,lähdössä,leaving
1474,olisiko,whether
1475,samaan,at the same
1476,ääliö,jerk
1477,matkaan,the trip
1478,todellinen,real
1479,jään,the ice
1480,vaarallista,dangerous
1481,kiinnosta,interest
1482,työn,the work
1483,sodan,the war
1484,mielelläni,with pleasure
1485,ihanaa,lovely
1486,vankilassa,inside
1487,odottanut,waiting for
1488,hyppää,jumps
1489,jolloin,when
1490,kunpa,if only
1491,tarkoittanut,mean to
1492,ajattelet,think
1493,löysi,found
1494,valkoinen,white
1495,hemmetti,hell
1496,omat,own
1497,koulussa,at school
1498,loppuu,ends
1499,puhui,spoke to
1500,kutsu,call
1501,kuulen,I hear
1502,tuntea,feel
1503,tekivät,made the
1504,suu,mouth
1505,l,l
1506,mennessä,by
1507,j,j
1508,puhelin,phone
1509,vaihtaa,change
1510,sopimus,agreement
1511,juttuja,stuff
1512,kävin,I went
1513,steve,steve
1514,niillä,they have
1515,suhteen,regarding
1516,kuukauden,months
1517,saaneet,received
1518,nimeltä,named
1519,menevät,go to
1520,täytyi,had to
1521,metriä,m
1522,peliä,game
1523,päivässä,day
1524,kiinnostunut,interested
1525,illan,evening
1526,k,k
1527,yhtäkkiä,suddenly
1528,charles,charles
1529,voiko,whether
1530,autosta,the car
1531,todisteita,evidence
1532,kutsuu,invites
1533,toimia,act
1534,olevani,was a
1535,kunnia,honor
1536,tapahtua,happen
1537,kuole,die
1538,taidat,canst thou
1539,maailmaa,the world
1540,suuren,great
1541,lailla,by law
1542,pysäytä,stop the
1543,kuvia,pictures
1544,hoida,treat
1545,toisin,otherwise
1546,avaimet,the keys
1547,huolissani,worried
1548,tapoit,you killed
1549,hiton,helluva
1550,kuunnella,listen
1551,helposti,easily
1552,missään,anywhere
1553,muuttunut,altered
1554,henkilö,person
1555,kaikkialla,everywhere
1556,menettää,lose
1557,puolen,half
1558,alhaalla,down
1559,viestin,the message
1560,avain,key
1561,tulimme,we came
1562,kysyin,I asked
1563,ottanut,was taken by
1564,vuoteen,by
1565,luokseni,me
1566,löydän,I can find
1567,koulun,the school
1568,kersantti,sergeant
1569,saatana,Satan
1570,monia,many
1571,lasten,junior
1572,sellaisen,of
1573,kerrot,tell
1574,annetaan,is given
1575,lahja,gift
1576,nosta,to raise
1577,itsellesi,yourself
1578,tahdo,do not want
1579,löydämme,we find
1580,tekevän,to do
1581,mitenkään,in any way
1582,johonkin,somewhere
1583,ruumis,corpse
1584,kuolemaa,death
1585,hitaasti,slowly
1586,kuolemaan,death
1587,parin,a pair of
1588,esittää,present
1589,jessus,jessus
1590,kyytiin,on
1591,näyttävät,look
1592,h,B
1593,perillä,in
1594,itsekin,another
1595,otamme,we take
1596,kanssamme,with us
1597,rakkautta,love
1598,jatkakaa,please continue
1599,tapaa,way
1600,hulluksi,crazy
1601,saakka,until
1602,kone,machine
1603,pitääkö,Shall
1604,vaatteet,clothing
1605,otat,you take
1606,lähdet,you leave
1607,richard,richard
1608,juotavaa,to drink
1609,saatava,balance
1610,oppia,learn
1611,kenet,who
1612,päästää,let
1613,etsimme,we are looking for
1614,aseen,gun
1615,kuitenkaan,however
1616,osaat,you know how
1617,vau,wow
1618,tie,road
1619,olo,feeling
1620,aloitetaan,started
1621,piru,Devil
1622,naisten,women's
1623,pidämme,we like
1624,heittää,throw
1625,onnekas,lucky
1626,kolmas,third
1627,varokaa,Watch out
1628,valmiita,ready
1629,kysyn,I ask
1630,musiikkia,music
1631,kivaa,fun
1632,ettemme,we do not
1633,vastata,answer
1634,äitinsä,mother
1635,elämäsi,your life
1636,martin,martin
1637,chris,chris
1638,pysäyttää,stop
1639,muistaa,remember
1640,kaupunkiin,city
1641,näemme,we will see
1642,com,com
1643,pitkin,along
1644,tietoja,information
1645,sijaan,in exchange for
1646,viiden,the five
1647,pyysin,I asked
1648,perheen,the family
1649,kuolen,I die
1650,mua,mua
1651,vastaus,answer
1652,uskotko,do you believe
1653,kuolet,you will die
1654,kanssanne,with you
1655,dollarin,dollar
1656,c,c
1657,esitellä,introduce
1658,tuollaista,things like that
1659,vanhan,the old
1660,p,p
1661,kertomaan,to tell
1662,juttua,story
1663,taisin,I would
1664,väliin,between
1665,sanoinhan,I told you
1666,osan,part
1667,tuhota,destroy
1668,ellet,unless you
1669,valot,lights
1670,suokaa,excuse
1671,kuolleet,dead
1672,syystä,justly
1673,jumalauta,jumalauta
1674,meneillään,in progress
1675,pahasti,badly
1676,majuri,major
1677,prinsessa,princess
1678,hyötyä,put to account
1679,tuokaa,please bring
1680,los,los
1681,kirja,book
1682,kuvan,image
1683,riippuu,depends
1684,lähetä,send
1685,vauva,baby
1686,toiset,other
1687,mielestä,with
1688,jätän,I leave
1689,oh,OH
1690,ison,the big
1691,tämänkin,this too
1692,lainkaan,at all
1693,nimeä,the name of
1694,opettaa,to teach
1695,jonnekin,somewhere
1696,kiinnostaa,interest
1697,ampui,shot
1698,vitut,Not True
1699,oikealle,right
1700,tullaan,will be
1701,oikean,right
1702,entäs,how about
1703,myydä,sell
1704,erään,a
1705,jätkä,jack
1706,ehkäpä,perhaps
1707,vittuun,fuck yourself
1708,tulitte,you came
1709,väärä,wrong
1710,palannut,returned
1711,tajusin,I realized
1712,b,b
1713,sanaa,the word
1714,puhelimessa,on the telephone
1715,muutakin,more
1716,lapseni,my children
1717,vaatii,demands
1718,käsi,hand
1719,joudun,I have to
1720,huomannut,noticed
1721,potkut,sack
1722,tosissani,serious
1723,täydellistä,complete
1724,kamu,pal
1725,aseet,arms
1726,ennenkin,before
1727,perheeni,my family
1728,kokonaan,wholly
1729,niihin,to them
1730,ensimmäistä,The first
1731,annoit,you gave
1732,sanoisin,I would say
1733,amerikan,American
1734,komentaja,commander
1735,perässä,after
1736,tiesitkö,Did you know
1737,keksin,I invent
1738,huomaa,find out
1739,tuollainen,that kind of
1740,nimen,the name
1741,mulkku,dick
1742,tuntee,knows the
1743,asioista,things
1744,poikasi,your son
1745,de,de
1746,rakastunut,enamored
1747,tuolta,from beyond
1748,konstaapeli,officer
1749,jaksa,to cope
1750,joulua,Christmas
1751,punainen,red
1752,jonain,one
1753,robert,robert
1754,tanssia,dance
1755,joilla,with
1756,ä,ä
1757,odotamme,we expect
1758,rakastat,you love
1759,hankkia,acquire
1760,vikaa,wrong with
1761,toivoa,hope
1762,sujuu,is going
1763,tekisin,I would do
1764,myöhään,late
1765,vihaa,anger
1766,koskee,concerns
1767,emmekö,are not we
1768,saivat,received
1769,tiedot,information
1770,raskaana,pregnant
1771,pelkkää,plain
1772,tulevan,the future
1773,voitteko,can you
1774,tappamaan,kill
1775,miesten,men
1776,löysit,you found
1777,uudet,new
1778,ajat,the times
1779,armeijan,army
1780,kilometriä,Kilometers
1781,tulemaan,to come
1782,jane,jane
1783,sua,sua
1784,kutsun,call
1785,pientä,small
1786,dave,dave
1787,siten,so
1788,polttaa,burn
1789,ilo,joy
1790,karkuun,get away
1791,muttei,but not
1792,kas,look
1793,olemmeko,we are
1794,istukaa,sit down
1795,silmäsi,your eyes
1796,etteivät,that
1797,liittyy,associated with
1798,miehesi,your husband
1799,huomio,attention
1800,taivas,sky
1801,perään,after
1802,tarkoitin,I meant
1803,andy,andy
1804,kate,cover
1805,päällikkö,master
1806,aikoina,in times of
1807,luulisin,I fancy
1808,istumaan,to sit
1809,itsestäsi,yourself
1810,tajuatko,okay
1811,kirjan,the book
1812,soittanut,called
1813,m,m
1814,don,don
1815,niinhän,that's what
1816,viikko,week
1817,sotilas,military
1818,ketkä,who
1819,sydän,heart
1820,sairaalassa,in the hospital
1821,la,la
1822,mut,mut
1823,isi,daddy
1824,selvästi,clearly
1825,arvoinen,worth
1826,ajoissa,in time
1827,tapaamme,we will meet
1828,tekemässä,doing
1829,tunti,hour
1830,kuntoon,shape
1831,asua,live
1832,kävellä,walk
1833,vastuussa,accountable
1834,jerry,jerry
1835,vasemmalle,left
1836,pulassa,in trouble
1837,keksi,Cookie
1838,mukaasi,with you
1839,sänkyyn,the bed
1840,sellaisia,of
1841,homo,gay
1842,tä,s
1843,fiksu,smart
1844,katosi,disappeared
1845,tavataan,found
1846,kannattaa,worth to
1847,avatkaa,open your
1848,kuolleita,dead
1849,kuvaa,pictures
1850,aikaisin,early
1851,pistä,Injecting
1852,vesi,water
1853,tyytyväinen,pleased
1854,lee,lee
1855,tietävän,to know
1856,lukenut,read
1857,lue,read
1858,yritämme,we try to
1859,vieläkään,even now
1860,tosin,indeed
1861,kokeilla,try out
1862,ottamaan,to take
1863,pakoon,escape
1864,eniten,the most
1865,sovi,fit
1866,perkele,Devil
1867,jatkuvasti,continually
1868,kasvaa,grow
1869,kahdesti,twice
1870,walter,walter
1871,saisin,I would get
1872,söpö,cute
1873,tältä,from this
1874,kokeile,try
1875,satuttaa,hurt
1876,liikkuu,travels
1877,tahdot,thou wilt
1878,ihmisille,people
1879,löytyi,found
1880,mark,mark
1881,sopimuksen,agreement
1882,kannata,booze
1883,kristus,Christ
1884,pirun,damn
1885,jätin,I left the
1886,valitan,sorry
1887,armeija,army
1888,sinussa,in you
1889,upeaa,fantastic
1890,minnekään,nowhere
1891,lopussa,at the end
1892,toiselle,another
1893,teetä,tea
1894,kouluun,to school
1895,ssa,in
1896,ryhmä,group
1897,vaimonsa,his wife
1898,avata,open
1899,muutkin,other
1900,yrittävät,trying to
1901,ssä,in
1902,oon,oon
1903,kerroit,letting
1904,aiheuttaa,cause
1905,eivätkä,and
1906,homman,finish the job
1907,suojella,protect
1908,merkki,make
1909,ammun,shoot
1910,pyhä,holy
1911,lähtemään,to leave
1912,ostin,I bought
1913,palveluksen,a favor
1914,sta,from
1915,taistella,fight
1916,tytär,daughter
1917,ensimmäisenä,first
1918,luin,I read
1919,asun,I live in
1920,tutustua,meet
1921,kadonnut,lost
1922,erossa,away from
1923,kenties,perhaps
1924,poikaa,sons
1925,kyseessä,at issue
1926,työni,my work
1927,saapuu,arrives
1928,kevin,kevin
1929,emmekä,we do not
1930,kaipaa,misses
1931,kamalaa,horrible
1932,näette,you can see
1933,laulaa,to sing
1934,maksa,liver
1935,pudota,drop
1936,sheriffi,sheriff
1937,murhaaja,murderer
1938,asetta,placing
1939,ellen,view
1940,äsken,but now
1941,tapaan,in the manner of
1942,sanat,lyrics
1943,puolestani,for me
1944,huolimatta,despite
1945,komea,handsome
1946,muun,other
1947,pääsit,did you get
1948,saatan,I might
1949,joista,which
1950,tarjota,offer
1951,keino,means
1952,prosenttia,per cent of
1953,minuutissa,per minute
1954,tainnut,I guess
1955,autoni,my car
1956,niissä,they
1957,muuttuu,changes to
1958,ruumiin,the body
1959,tarinan,story
1960,kamaa,stuff
1961,korjata,fix
1962,will,will
1963,meiltä,us
1964,teitte,you did
1965,typerys,fool
1966,katsomassa,watching
1967,löydät,you will find
1968,pystyy,is able to
1969,huolehtia,worry
1970,joudut,you have to
1971,larry,larry
1972,kysymyksiä,issues
1973,sankari,hero
1974,haisee,stinks
1975,tavoin,like
1976,nousee,rises
1977,juoda,drink
1978,päiväys,date
1979,paikasta,from
1980,puhumme,we are talking about
1981,kuulit,you heard
1982,muistakaa,remember
1983,huumeita,drugs
1984,esimerkiksi,for example
1985,apuasi,your help
1986,william,william
1987,suurta,great
1988,haluaisit,would you like
1989,uskoo,believes
1990,elämänsä,his life
1991,kelpaa,is good enough
1992,lähelle,close
1993,kumpi,which
