,concept_id_1,concept_relationship_id,concept_id_2,target concept,invalid_reason,valid_start_date,valid_end_date
273,2000000155,Maps to,4119650.0,"(Total protein measurement, Measurement, SNOMED)",,2020-01-01,2099-12-31
274,2000000155,Maps to unit,8636.0,"(Gram per liter, Unit, UCUM)",,2020-01-01,2099-12-31
275,2000000156,Maps to,4032789.0,"(Triglycerides measurement, Measurement, SNOMED)",,2020-01-01,2099-12-31
276,2000000156,Maps to unit,8753.0,"(Millimole per liter, Unit, UCUM)",,2020-01-01,2099-12-31
277,2000000157,Maps to,4313992.0,"(Uric acid measurement, Measurement, SNOMED)",,2020-01-01,2099-12-31
278,2000000157,Maps to unit,8749.0,"(Micromole per liter, Unit, UCUM)",,2020-01-01,2099-12-31
279,2000000158,Maps to,4308739.0,"(Vitamin D measurement, Measurement, SNOMED)",,2020-01-01,2099-12-31
280,2000000158,Maps to unit,8736.0,"(Nanomole per liter, Unit, UCUM)",,2020-01-01,2099-12-31
281,2000000159,Maps to,,,,,
282,2000000160,Maps to,3038421.0,"(Age at death, Observation, LOINC)",,2020-01-01,2099-12-31
283,2000000160,Maps to unit,9448.0,"(Year, Unit, UCUM)",,2020-01-01,2099-12-31
284,2000000161,Maps to,3007016.0,"(Age at cancer diagnosis, Measurement, LOINC)",,2020-01-02,2100-01-01
285,2000000161,Maps to unit,9448.0,"(Year, Unit, UCUM)",,2020-01-01,2099-12-31
