,﻿APEC blue,无
728,Public Display of Affection,无
729,renew one's visa,无
730,renew contract,无
731,deceptive advertising, 欺骗性广告；虚假广告；虚伪广告
732,electoral fraud, 选举舞弊；选举操控手法；做票
733,promotional video, 宣传视频；宣传片；视频宣传
734,academic credit system,无
735,learn from Lei Feng,无
736,fabricate academic credentials,无
737,students' affairs division,无
738,academic cheating, 学术造假；作弊行为；学术欺诈
739,sweatshop,n. 血汗工厂；剥削劳力的工厂
740,smoking of bacon,无
741,Asia Infrastructure Investment Bank,无
742,AIIB, 亚洲智能建筑学会；Asian Institute of Intelligent Buildings；鐖辩
743,raise the retirement age,无
744,eye exercises, 眼保健操；眼操；眼保操
745,fluffy catkins,无
746,pension system,"un. 养老金制度
"
747,elderly care service,无
748,nest egg,"n. 备用的钱；储备金
"
749,lottery,n. 彩票；碰运气的事，难算计的事；抽彩给奖法
750,cash cow,"n. 【商】摇钱树；最赚钱的商品
"
751,drug driving, 药驾；药后驾驶；毒驾
752,diploma mill,"na. 〈美俚〉滥发文凭的大学
"
753,evening university,夜大学
754,night university,无
755,evening market,无
756,night fair,无
757,disposable dishware,无
758,one-off consumption,无
759,first-tier city,无
760,one-person household,单身户
761,a full range of,无
762,end-to-end,n. [计] 端对端；首尾相连
763,the Belt and Road,无
764,doctor-patient disputes,无
765,medical disputes, 医疗纠纷；一般医疗纠纷；医患纠纷
766,medical insurance,"un. 医疗保险
"
767,habitable city,无
768,livable city, 宜居城市；适宜居住城市；适居的城市
769,mobile payment, 移动支付；行动支付；手机支付
770,suspected case,"un. 可疑病例
"
771,old-for-new policy,无
772,house-for-pension,无
773,compulsory education,"na. 强迫教育
"
774,extradition request,无
775,invisible income,无
776,off-payroll income,无
777,premature death,"n. 夭折
"
778,baby formula, 婴幼儿配方奶粉；婴儿奶粉；婴儿配方
779,emergency shelter,应急掩蔽部
780,this year's graduates, 应届毕业生；本届毕业生
781,examination-oriented education, 应试教育
782,congestion fee,无
783,shame parade,无
784,study tour, 游学；考察学习课程；美国游学
785,cable television,"n. 有线电视
"
786,paid post deletion,无
787,cybersquatting,域名抢注
788,jailhouse bully,无
789,total lunar eclipse, 月全食；月全蚀；月食可分为全食
790,pre-pregnancy physical examinations,无
791,miscellaneous expenses,"na. 杂费
"
792,post-disaster reconstruction,无
793,rip somebody off, 宰人
794,reclaimed water,"un. 回收水；回水
"
795,sponsorship fee,无
796,puppy love,早年初恋；少男少女间短暂的爱情（等于calf love）
797,early onset of puberty,无
798,school-selection fee,无
799,charity fraud,无
800,noodles with fried bean and meat sauce,无
801,standing-only ticket,无
802,fried chicken and beer,无
803,reception costs,无
804,signature dish, 招牌菜；拿手菜；章芬擅菜
805,vacuum package,真空包装
806,reality show, 以真实故事为题材的电视节目，如救难节目、火灾节目和警察节目。
807,pillow talk, 枕边细语；枕边风；枕边密语
808,political asylum, 政治庇护；政治避难；欲争得政治庇护
809,administrative transparency,无
810,direct-sale store,无
811,occupational hazard,"un. 职业危害；职业病；职业性危害
"
812,career bottleneck,无
813,stranded passenger,无
814,think tank,"n. 专家小组
"
815,brain trust,"na. (一般)专家顾问团；〈英〉(广播电台中给听众解答问题的)答问员
"
816,wisdom of the people's livelihood,无
817,Chinese dream,无
818,China hand, 中国通；中国手；一位中国通的自述
819,intermediary agent,媒介
820,Chinese tunic suit,中山装
821,life bans,n. 终身禁赛
822,seeded player,n. 种子选手
823,seed,"n. 种子；根据；精液；萌芽；子孙；原由
vt. 播种；结实；成熟；去…籽
vi. 播种；（植物）结实
"
824,phase out,"na. 使逐步结束；使逐步撤出；逐步淘汰；逐部停止(活动等)
"
825,theme song,"na. 主题歌
"
826,tailored taxi service,无
827,housing vacancy rate,无
828,liaison office in Beijing,无
829,lethal injection, 注射；注射死刑；致命性注射剂
830,exclusive interview, 独家采访；专访；人物专访
831,franchised store,专卖店
832,franchise,"n. 特权；公民权；经销权；管辖权
vt. 给…以特许（或特权）；赋予公民权"
833,exclusive agency,"un. 独家代理
"
834,forward,"n. 前锋
adj. 向前的；早的；迅速的
adv. 向前地；向将来
vt. 促进；转寄；运送
"
835,repost,"n. 尖锐的反驳；敏捷回刺
vt. 重新投寄"
836,transfer fee,"un. 转让手续费
"
837,genetically modified agricultural products,无
838,GM agricultural products,无
839,mainstream support,无
840,birth permit,无
841,role-playing board games,无
842,free trade zone,"n. 加工出口区
"
843,free trade zone fever,无
844,frenzy for FTZ,无
845,We-Media,无
846,selfie,n. 自拍照
847,Free Independent Travel,无
848,self-study examination,自学考试
849,self-owned brand,无
850,self-service bank,无
851,independent recruitment,无
852,cage of regulations,无
853,variety show,"na. 杂耍演出
"
854,Headquarters,n. 总部；指挥部；司令部
855,head office,"n. 总部；总公司
"
856,switchboard,n. 配电盘；接线总机
857,day student,"n. （寄宿学校的）走读生
"
858,off-campus student,无
859,sell well,"na. 易于销售
"
860,soccer reform plan,无
861,exploit loopholes,无
862,show,"n. 显示；表演；炫耀
vt. 显示；说明；演出；展出
vi. 显示；说明；指示
"
863,make a show, 作秀；策划活动；装腔作势
